"TopDir","Count","Words"
".gemini","298","298"
"engineering","59","66198"
"engineering-team","51","61922"
"marketing-skill","45","66970"
"c-level-advisor","34","40823"
"product-team","17","19595"
"ra-qm-team","14","24488"
"playwright-pro","10","5197"
"project-management","9","11355"
"agenthub","8","3720"
"autoresearch-agent","6","3445"
"self-improving-agent","6","3669"
"executive-mentor","6","6847"
"business-growth","5","5448"
"finance","4","3337"
"skill-tester","2","2670"
"resume","1","276"
"research-summarizer","1","1232"
"retro","1","1"
"product-manager","1","1"
"report","1","461"
"remember","1","489"
"product-strategist","1","970"
"product-team-bundle","1","1"
"rice","1","1"
"review","1","554"
"qms-audit-expert","1","1354"
"product-analytics","1","725"
"revenue-operations","1","1166"
"product-manager-toolkit","1","1347"
"product-bundle","1","1"
"product-discovery","1","457"
"quality-manager-qmr","1","2506"
"quality-manager-qms-iso13485","1","2304"
"referral-program","1","2146"
"quality-documentation-manager","1","2055"
"ra-qm-team-main","1","1"
"rag-architect","1","1973"
"ra-qm-team-bundle","1","1"
"red-team","1","2172"
"project-management-bundle","1","1"
"release-manager","1","2174"
"programmatic-seo","1","1543"
"project-health","1","1"
"regulatory-affairs-head","1","2761"
"prompt-governance","1","1654"
"promote","1","682"
"prompt-engineer-toolkit","1","671"
"mdr-745-specialist","1","1435"
"meeting-analyzer","1","1809"
"marketing-strategy-pmm","1","1875"
"mcp-server-builder","1","771"
"merge","1","289"
"mirror","1","425"
"model-routing","1","876"
"migrate","1","509"
"migration-architect","1","2129"
"marketing-bundle","1","1"
"marketing-context","1","1048"
"loop","1","578"
"ma-playbook","1","595"
"marketing-demand-acquisition","1","1408"
"marketing-psychology","1","984"
"marketing-skill-bundle","1","1"
"marketing-ideas","1","1210"
"marketing-ops","1","1300"
"monorepo-navigator","1","634"
"pipeline","1","1"
"plugin-audit","1","1"
"performance-profiler","1","772"
"persona","1","1"
"popup-cro","1","1146"
"prd","1","1"
"pricing-strategy","1","2218"
"postmortem","1","1248"
"pr-review-expert","1","1774"
"observability-designer","1","1613"
"okr","1","1"
"morning-orchestrator","1","1965"
"ms365-tenant-manager","1","1095"
"onboarding-cro","1","1316"
"paid-ads","1","1825"
"paywall-upgrade-cro","1","1227"
"org-health-diagnostic","1","1242"
"page-cro","1","1380"
"startup-cto","1","1"
"statistical-analyst","1","1485"
"sprint-plan","1","1"
"sql-database-assistant","1","2243"
"status","1","391"
"stripe-integration-expert","1","1472"
"tc-tracker","1","1411"
"strategic-alignment","1","1429"
"stress-test","1","1232"
"sprint-health","1","1"
"social-content","1","1724"
"social-media-analyzer","1","1262"
"snowflake-development","1","1730"
"soc2-compliance","1","2641"
"social-media-manager","1","1390"
"spec-driven-workflow","1","2249"
"spec-to-repo","1","1579"
"solo-founder","1","1"
"spawn","1","463"
"tc","1","1"
"video-content-strategist","1","1776"
"wiki-ingest","1","1"
"user-story","1","1"
"ux-researcher-designer","1","1735"
"wiki-init","1","1"
"wiki-query","1","1"
"x-twitter-growth","1","1370"
"wiki-lint","1","1"
"wiki-log","1","1"
"ui-design-system","1","1551"
"team-communications","1","656"
"tech-debt-tracker","1","605"
"tdd-guide","1","1752"
"tdd","1","1"
"tech-debt","1","1"
"testrail","1","492"
"threat-detection","1","1989"
"tech-stack-evaluator","1","558"
"terraform-patterns","1","2845"
"secrets-vault-manager","1","1911"
"security-pen-testing","1","1725"
"schema-markup","1","1774"
"scrum-master","1","1211"
"self-eval","1","1251"
"senior-computer-vision","1","1795"
