"source_asset_id","source_slug","target_asset_id","target_slug","relationship"
"HUB-01","/marketing-agency-for-builders/","ART-01","/home-builder-website-not-generating-leads/","related-reader-job"
"HUB-01","/marketing-agency-for-builders/","ART-02","/custom-home-builder-blog-articles/","related-reader-job"
"HUB-01","/marketing-agency-for-builders/","STR-01","/home-builder-marketing-plan/","related-reader-job"
"HUB-01","/marketing-agency-for-builders/","VIS-01","/seo-for-home-builders/","related-reader-job"
"HUB-01","/marketing-agency-for-builders/","WEB-01","/home-builder-website-design/","related-reader-job"
"HUB-01","/marketing-agency-for-builders/","LEAD-01","/home-builder-lead-generation/","related-reader-job"
"ART-01","/home-builder-website-not-generating-leads/","HUB-01","/marketing-agency-for-builders/","supporting-to-hub"
"ART-01","/home-builder-website-not-generating-leads/","WEB-01","/home-builder-website-design/","related-reader-job"
"ART-01","/home-builder-website-not-generating-leads/","GAL-01","/best-home-builder-websites/","related-reader-job"
"ART-01","/home-builder-website-not-generating-leads/","SEOCHK-01","/home-builder-website-seo-checklist/","related-reader-job"
"ART-02","/custom-home-builder-blog-articles/","HUB-01","/marketing-agency-for-builders/","supporting-to-hub"
"ART-02","/custom-home-builder-blog-articles/","CNT-01","/home-builder-content-marketing/","related-reader-job"
"ART-02","/custom-home-builder-blog-articles/","STR-01","/home-builder-marketing-plan/","related-reader-job"
"ART-02","/custom-home-builder-blog-articles/","WEB-01","/home-builder-website-design/","related-reader-job"
"STR-01","/home-builder-marketing-plan/","HUB-01","/marketing-agency-for-builders/","supporting-to-hub"
"STR-01","/home-builder-marketing-plan/","AUD-01","/custom-home-builder-target-market-segments/","related-reader-job"
"STR-01","/home-builder-marketing-plan/","LEAD-01","/home-builder-lead-generation/","related-reader-job"
"STR-01","/home-builder-marketing-plan/","VIS-01","/seo-for-home-builders/","related-reader-job"
"VIS-01","/seo-for-home-builders/","HUB-01","/marketing-agency-for-builders/","supporting-to-hub"
"VIS-01","/seo-for-home-builders/","LOCAL-01","/local-seo-for-home-builders/","related-reader-job"
"VIS-01","/seo-for-home-builders/","SEOCHK-01","/home-builder-website-seo-checklist/","related-reader-job"
"VIS-01","/seo-for-home-builders/","CNT-01","/home-builder-content-marketing/","related-reader-job"
"WEB-01","/home-builder-website-design/","HUB-01","/marketing-agency-for-builders/","supporting-to-hub"
"WEB-01","/home-builder-website-design/","ART-01","/home-builder-website-not-generating-leads/","related-reader-job"
"WEB-01","/home-builder-website-design/","GAL-01","/best-home-builder-websites/","related-reader-job"
"WEB-01","/home-builder-website-design/","TPL-01","/home-builder-website-templates/","related-reader-job"
"AUD-01","/custom-home-builder-target-market-segments/","HUB-01","/marketing-agency-for-builders/","supporting-to-hub"
"AUD-01","/custom-home-builder-target-market-segments/","STR-01","/home-builder-marketing-plan/","related-reader-job"
"AUD-01","/custom-home-builder-target-market-segments/","LEAD-01","/home-builder-lead-generation/","related-reader-job"
"LEAD-01","/home-builder-lead-generation/","HUB-01","/marketing-agency-for-builders/","supporting-to-hub"
"LEAD-01","/home-builder-lead-generation/","NUR-01","/home-builder-email-marketing-crm/","related-reader-job"
"LEAD-01","/home-builder-lead-generation/","AUTO-01","/home-builder-marketing-automation/","related-reader-job"
"LEAD-01","/home-builder-lead-generation/","STR-01","/home-builder-marketing-plan/","related-reader-job"
"LOCAL-01","/local-seo-for-home-builders/","VIS-01","/seo-for-home-builders/","related-reader-job"
"LOCAL-01","/local-seo-for-home-builders/","HUB-01","/marketing-agency-for-builders/","supporting-to-hub"
"LOCAL-01","/local-seo-for-home-builders/","GAL-01","/best-home-builder-websites/","related-reader-job"
"NUR-01","/home-builder-email-marketing-crm/","HUB-01","/marketing-agency-for-builders/","supporting-to-hub"
"NUR-01","/home-builder-email-marketing-crm/","LEAD-01","/home-builder-lead-generation/","related-reader-job"
"NUR-01","/home-builder-email-marketing-crm/","AUTO-01","/home-builder-marketing-automation/","related-reader-job"
"AUTO-01","/home-builder-marketing-automation/","LEAD-01","/home-builder-lead-generation/","related-reader-job"
"AUTO-01","/home-builder-marketing-automation/","NUR-01","/home-builder-email-marketing-crm/","related-reader-job"
"AUTO-01","/home-builder-marketing-automation/","HUB-01","/marketing-agency-for-builders/","supporting-to-hub"
"SOC-01","/social-media-marketing-for-home-builders/","HUB-01","/marketing-agency-for-builders/","supporting-to-hub"
"SOC-01","/social-media-marketing-for-home-builders/","CNT-01","/home-builder-content-marketing/","related-reader-job"
"SOC-01","/social-media-marketing-for-home-builders/","ART-02","/custom-home-builder-blog-articles/","related-reader-job"
"CNT-01","/home-builder-content-marketing/","HUB-01","/marketing-agency-for-builders/","supporting-to-hub"
"CNT-01","/home-builder-content-marketing/","ART-02","/custom-home-builder-blog-articles/","related-reader-job"
"CNT-01","/home-builder-content-marketing/","VIS-01","/seo-for-home-builders/","related-reader-job"
"CNT-01","/home-builder-content-marketing/","SOC-01","/social-media-marketing-for-home-builders/","related-reader-job"
"GAL-01","/best-home-builder-websites/","WEB-01","/home-builder-website-design/","related-reader-job"
"GAL-01","/best-home-builder-websites/","ART-01","/home-builder-website-not-generating-leads/","related-reader-job"
"GAL-01","/best-home-builder-websites/","TPL-01","/home-builder-website-templates/","related-reader-job"
"TPL-01","/home-builder-website-templates/","WEB-01","/home-builder-website-design/","related-reader-job"
"TPL-01","/home-builder-website-templates/","GAL-01","/best-home-builder-websites/","related-reader-job"
"TPL-01","/home-builder-website-templates/","ART-01","/home-builder-website-not-generating-leads/","related-reader-job"
"SEOCHK-01","/home-builder-website-seo-checklist/","VIS-01","/seo-for-home-builders/","related-reader-job"
"SEOCHK-01","/home-builder-website-seo-checklist/","ART-01","/home-builder-website-not-generating-leads/","related-reader-job"
"SEOCHK-01","/home-builder-website-seo-checklist/","HUB-01","/marketing-agency-for-builders/","supporting-to-hub"
"MKTRES-01","/home-builder-market-research/","STR-01","/home-builder-marketing-plan/","related-reader-job"
"MKTRES-01","/home-builder-market-research/","AUD-01","/custom-home-builder-target-market-segments/","related-reader-job"
"MKTRES-01","/home-builder-market-research/","HUB-01","/marketing-agency-for-builders/","supporting-to-hub"
"PPC-01","/ppc-for-home-builders/","HUB-01","/marketing-agency-for-builders/","supporting-to-hub"
"PPC-01","/ppc-for-home-builders/","LEAD-01","/home-builder-lead-generation/","related-reader-job"
"PPC-01","/ppc-for-home-builders/","ART-01","/home-builder-website-not-generating-leads/","related-reader-job"
"CONSULT-01","/home-builder-marketing-consulting/","HUB-01","/marketing-agency-for-builders/","supporting-to-hub"
"CONSULT-01","/home-builder-marketing-consulting/","STR-01","/home-builder-marketing-plan/","related-reader-job"
