url,page_type,index_title_or_current_search_evidence,direct_fetch_2026_09_12,h1,canonical,meta_description,internal_paths_schema,coverage_status,notes
https://thegtclinic.com/,home,"Regenerative, Aesthetic & Functional Medicine | Marlton, NJ - GT Clinic",HTTP 202 SiteGround powCaptcha,unverified,unverified,unverified,unverified,search-indexed,"Current snippet names aesthetic and functional medicine, consultation CTA, sleep, inflammation, digestive, and metabolic consultation focus."
https://thegtclinic.com/faq/,faq,"FAQ — Answered by Dr. Farooqui | Marlton NJ - GT Clinic",HTTP 202 SiteGround powCaptcha,unverified,unverified,unverified,unverified,search-indexed,"Current snippet shows physician FAQ, location, and service categories."
https://thegtclinic.com/contact-us/,contact,"Contact Us - GT Clinic",HTTP 202 SiteGround powCaptcha,unverified,unverified,unverified,unverified,search-indexed,"Current snippet shows contact form and text-message consent language."
https://thegtclinic.com/meet-our-expert/,physician,Local evidence source only,HTTP 202 SiteGround powCaptcha,unverified,unverified,unverified,unverified,not-currently-index-verified,"Local strategy identifies this page; source HTML unavailable."
https://thegtclinic.com/locations/aesthetic-medicine-cherry-hill-nj/,location,"GT Aesthetic & Functional Medicine Near Cherry Hill NJ - GT Clinic",HTTP 202 SiteGround powCaptcha,unverified,unverified,unverified,unverified,search-indexed,"Current snippet gives Marlton location, local travel statement, service list, and FAQs."
https://thegtclinic.com/locations/aesthetic-medicine-moorestown-nj/,location,"Aesthetic Medicine Near Moorestown NJ - GT Clinic",HTTP 202 SiteGround powCaptcha,unverified,unverified,unverified,unverified,search-indexed,"Current snippet gives travel statement, service list, and FAQs."
https://thegtclinic.com/locations/aesthetic-medicine-voorhees-nj/,location,"Regenerative-Medicine-Voorhees-NJ - GT Clinic",HTTP 202 SiteGround powCaptcha,unverified,unverified,unverified,unverified,search-indexed,"Slug-style current result title; title rewrite is a confirmed priority after source access."
https://thegtclinic.com/ourservices/gt-restore-for-him/,service,"Men's Intimate Wellness & Sexual Health in Marlton NJ - GT Clinic",HTTP 202 SiteGround powCaptcha,unverified,unverified,unverified,unverified,search-indexed,"Current snippet includes private physician-led consultation and FAQ content."
https://thegtclinic.com/ourservices/gt-restore-for-her/,service,"Women's Intimate Wellness in Marlton NJ - GT Clinic",HTTP 202 SiteGround powCaptcha,unverified,unverified,unverified,unverified,search-indexed,"Current snippet includes private physician-led consultation and FAQ content."
https://thegtclinic.com/ourservices/gt-restore-roots/,service,"Hair Restoration Techniques for Thicker Hair | The GT Clinic",HTTP 202 SiteGround powCaptcha,unverified,unverified,unverified,unverified,search-indexed,"Current snippet presents hair rejuvenation and PRP related answer content."
https://thegtclinic.com/ourservices/hyperpigmentation-treatment-in-marlton/,service,"Hyperpigmentation Marlton NJ | Melasma & Dark Spots - GT Clinic",HTTP 202 SiteGround powCaptcha,unverified,unverified,unverified,unverified,search-indexed,"Current snippet presents long form treatment and FAQ content."
https://thegtclinic.com/ourservices/laser-vein-removal/,service,"Laser Vein Removal in Marlton NJ — Physician-Performed - GT Clinic",HTTP 202 SiteGround powCaptcha,unverified,unverified,unverified,unverified,search-indexed,"Current snippet presents laser vein removal answer content."
https://thegtclinic.com/ourservices/scar-treatment-in-marlton/,service,"Scar Treatment in Marlton NJ | Acne & Surgical Scars - GT Clinic",HTTP 202 SiteGround powCaptcha,unverified,unverified,unverified,unverified,search-indexed,"Current snippet presents long form treatment and FAQ content."
https://thegtclinic.com/ourservices/microneedling-in-marlton/,service,"Microneedling in Marlton NJ | Collagen Induction Therapy - GT Clinic",HTTP 202 SiteGround powCaptcha,unverified,unverified,unverified,unverified,search-indexed,"Search index reports a four-month-old crawl; refresh priority after access."
