"prospect_id","wave","status","sent_at_utc","provider_message_id","bounce_status","opt_out","registered","calendar_consent","notes"
"PHL-WORKSHOP-001","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-002","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-003","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-004","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-005","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-006","1","hard_bounce_suppressed","2026-07-28T00:34:00Z","","hard_bounce_no_such_user","false","false","false","Gmail delivery failure verified 2026-07-28T00:30:24Z; suppress from all future waves"
"PHL-WORKSHOP-007","1","hard_bounce_suppressed","2026-07-28T00:34:00Z","","hard_bounce_mailbox_not_found","false","false","false","Gmail delivery failure verified 2026-07-28T00:30:33Z; suppress from all future waves"
"PHL-WORKSHOP-008","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-009","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-010","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-011","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-012","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-013","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-014","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-015","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-016","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-017","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-018","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-019","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-020","1","hard_bounce_suppressed","2026-07-28T00:34:00Z","","hard_bounce_5_1_1_user_unknown","false","false","false","Gmail delivery failure verified 2026-07-28T00:32:28Z; suppress from all future waves"
"PHL-WORKSHOP-021","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-022","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-023","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-024","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-025","1","sent_verified","2026-07-28T00:34:00Z","","pending","false","pending","pending","Exact message timestamp and message ID retained in Gmail Sent"
"PHL-WORKSHOP-026","2","hard_bounce_suppressed","2026-07-28T02:46:13.046Z","","hard_bounce_no_such_user","false","false","false","Gmail hard delivery failure verified after send; suppress from all future waves"
"PHL-WORKSHOP-027","2","sent_verified","2026-07-28T02:46:34.187Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-028","2","hard_bounce_suppressed","2026-07-28T02:46:41.730Z","","hard_bounce_no_such_user","false","false","false","Gmail hard delivery failure verified after send; suppress from all future waves"
"PHL-WORKSHOP-029","2","sent_verified","2026-07-28T02:46:49.213Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-030","2","sent_verified","2026-07-28T02:46:56.709Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-031","2","sent_verified","2026-07-28T02:47:04.179Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-032","2","sent_verified","2026-07-28T02:47:15.405Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-033","2","sent_verified","2026-07-28T02:47:20.166Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-034","2","sent_verified","2026-07-28T02:47:27.892Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-035","2","sent_verified","2026-07-28T02:47:35.519Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-036","2","sent_verified","2026-07-28T02:47:41.089Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-037","2","sent_verified","2026-07-28T02:47:55.158Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-038","2","sent_verified","2026-07-28T02:48:02.634Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-039","2","sent_verified","2026-07-28T02:48:10.074Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-040","2","sent_verified","2026-07-28T02:48:17.590Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-041","2","hard_bounce_suppressed","2026-07-28T02:48:25.073Z","","hard_bounce_no_such_user","false","false","false","Gmail hard delivery failure verified after send; suppress from all future waves"
"PHL-WORKSHOP-042","2","hard_bounce_suppressed","2026-07-28T02:48:36.572Z","","hard_bounce_domain_not_found","false","false","false","Gmail hard delivery failure verified after send; suppress from all future waves"
"PHL-WORKSHOP-043","2","sent_verified","2026-07-28T02:48:44.214Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-044","2","sent_verified","2026-07-28T02:48:51.663Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-045","2","sent_verified","2026-07-28T02:48:59.177Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-046","2","sent_verified","2026-07-28T02:49:06.661Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-047","2","sent_verified","2026-07-28T02:49:18.791Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-048","2","sent_verified","2026-07-28T02:49:26.451Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
"PHL-WORKSHOP-049","2","hard_bounce_suppressed","2026-07-28T02:49:34.033Z","","hard_bounce_5_1_1_user_unknown","false","false","false","Gmail hard delivery failure verified after send; suppress from all future waves"
"PHL-WORKSHOP-050","2","sent_verified","2026-07-28T02:49:41.547Z","","pending","false","pending","pending","Per-recipient Gmail Sent search verified; immediate bounce review pending"
