rank,slug,business,identity_key,official_url,verified_phone,public_demo_url,live_first_party_result,first_party_phone_match,offer_fit,stored_caller_status,suppression_result,live_suppression_verified_at,relationship_result,duplicate_result,classification,confidence,notes
1,h-g-sign-company,H&G Sign Company,domain:hgsign.com,http://www.hgsign.com/contact/,215-425-7753,https://philly-25-redesigns-batch-4.netlify.app/sites/h-g-sign-company/,HTTP_200_current_contact_page,true,strong_rebuild,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,high,"Official HTTP contact page is active and dated 2026; HTTPS certificate remains broken, which supports the rebuild case."
2,new-pennsburg-diner,The New Pennsburg Diner,domain:pennsburgdiner.com,https://pennsburgdiner.com/,215-679-2190,https://radar-unslop-20260819.netlify.app/sites/new-pennsburg-diner/,HTTP_200_exact_identity,true,strong_rebuild,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,high,"Stored grade 33/100 decayed; current official site publishes the exact phone."
3,dunryte-electric-inc,"Dunryte Electric, Inc.",domain:dunryteelectric.com,https://dunryteelectric.com/,267-784-6969,https://philly-25-redesigns-batch-4.netlify.app/sites/dunryte-electric-inc/,HTTP_200_exact_identity,true,strong_rebuild,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,high,"Stored grade 54/100 rebuild; prior draft exists but sent=NO."
4,mayfair-fence,Mayfair Fence,domain:mayfairfence.com,https://www.mayfairfence.com/,215-676-1120,https://philly-25-homepage-concepts-batch-2.netlify.app/mayfair-fence/,HTTP_200_exact_identity,true,strong_rebuild,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,high,"Stored grade 54/100 rebuild; prior draft exists but sent=NO."
5,peking-gourmet,Peking Gourmet,domain:pekinggourmetpottstown.com,http://pekinggourmetpottstown.com/,610-326-2332,https://radar-unslop-20260819.netlify.app/sites/peking-gourmet/,HTTP_200_exact_identity,true,strong_rebuild,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,medium_high,"Stored grade 36/100 decayed; official site is HTTP-only; current first-party identity and phone are exact."
6,metalmorphose-iron-studio,Metalmorphose Ironworks,domain:metalmorphoseironworks.com,https://metalmorphoseironworks.com/,484-919-4548,https://radar-unslop-20260819.netlify.app/sites/metalmorphose-iron-studio/,HTTP_200_exact_identity,true,strong_rebuild,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,high,"Stored grade 55/100 rebuild and prior Places OPERATIONAL evidence."
7,e-and-e-cleaning,E & E Cleaning Services,domain:eandecleaning.com,https://www.eandecleaning.com/,267-593-0603,https://philly-25-homepage-concepts-batch-2.netlify.app/e-and-e-cleaning/,HTTP_200_exact_identity,true,optimization_not_full_rebuild,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,high,"Stored grade 66/100 polish; prior reviewed draft exists but sent=NO."
8,philly-medical-and-rehab-associates,Philly Medical and Rehab Associates,domain:mypmra.com,https://www.mypmra.com/,215-535-5616,https://philly-25-homepage-concepts-batch-2.netlify.app/philly-medical-and-rehab-associates/,HTTP_200_exact_identity,true,optimization_not_full_rebuild,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,high,"Stored grade 65/100 polish."
9,marthas-sophisticated-shine,Martha's Sophisticated Shine,domain:sophisticatedshine.com,https://sophisticatedshine.com/,267-694-9410,https://philly-25-homepage-concepts-batch-2.netlify.app/marthas-sophisticated-shine/,HTTP_200_exact_identity,true,optimization_not_full_rebuild,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,high,"Stored grade 66/100 polish."
10,pt-in-philly,PT in Philly,domain:ptinphilly.com,https://www.ptinphilly.com/,267-201-0986,https://philly-25-homepage-concepts-batch-2.netlify.app/pt-in-philly/,HTTP_200_exact_identity,true,optimization_not_full_rebuild,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,high,"Stored grade 68/100 polish."
11,bustleton-services,"Bustleton Services, Inc",domain:bustletonservices.com,https://www.bustletonservices.com/,215-447-3140,https://philly-25-homepage-concepts-batch-2.netlify.app/bustleton-services/,HTTP_200_exact_identity,true,optimization_not_full_rebuild,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,high,"Stored grade 69/100 polish."
12,k-a-m-sheet-metal-fab,K.A.M. Sheet Metal & Fab,domain:kamsheetmetal.com,https://www.kamsheetmetal.com/,267-608-6287,https://philly-25-redesigns-batch-4.netlify.app/sites/k-a-m-sheet-metal-fab/,current_first_party_web_crawl_exact_identity,true,optimization_not_full_rebuild,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_gmail_slack_hubspot_client_or_queue_collision,no_selected_domain_or_phone_conflict,hold,high,"Current first-party crawl published the exact phone; live relationship/collision search found no conflict, but no clearance receipt binds the final 25 yet."
13,young-s-electrical-services-inc,Young's Electrical Services Inc.,domain:youngselectricalservicesinc.com,https://www.youngselectricalservicesinc.com/,215-962-3904,https://philly-25-redesigns-batch-4.netlify.app/sites/young-s-electrical-services-inc/,HTTP_200_exact_identity,true,offer_fit_unconfirmed,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,medium_high,"Stored grade says verify with rendered audit before choosing the offer."
14,patriot-fence-and-ironworks,"Patriot Fence & Ironworks, LLC",domain:patriotfenceandironworks.com,https://www.patriotfenceandironworks.com/,215-943-3631,https://philly-25-homepage-concepts-batch-2.netlify.app/patriot-fence-and-ironworks/,HTTP_200_exact_identity,true,optimization_not_full_rebuild,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,high,"Stored grade 64/100 polish."
15,mayfair-family-chiropractic,Mayfair Family Chiropractic Center,domain:mayfairchiro.com,https://www.mayfairchiro.com/,215-332-8686,https://philly-25-homepage-concepts-batch-2.netlify.app/mayfair-family-chiropractic/,HTTP_200_exact_identity,true,optimization_not_full_rebuild,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,high,"Stored grade 68/100 polish."
16,borden-heating-cooling-inc,"Borden Heating & Cooling, Inc.",domain:bordenco.com,https://bordenco.com/,610-325-9966,https://philly-25-redesigns-batch-4.netlify.app/sites/borden-heating-cooling-inc/,HTTP_200_exact_identity,true,optimization_not_full_rebuild,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,high,"Stored grade 67/100 polish."
17,brandon-electric-inc,"Brandon Electric, Inc.",domain:brandonelectricpa.com,https://brandonelectricpa.com/,215-722-2988,https://philly-25-redesigns-batch-4.netlify.app/sites/brandon-electric-inc/,HTTP_200_exact_identity,true,optimization_not_full_rebuild,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,high,"Stored grade 68/100 polish."
18,centrum-mechanical-services,Centrum Mechanical Services,domain:centrummechanical.com,https://centrummechanical.com/,610-583-9800,https://philly-25-redesigns-batch-4.netlify.app/sites/centrum-mechanical-services/,HTTP_200_exact_identity,true,optimization_not_full_rebuild,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,high,"Stored grade 68/100 polish."
19,rufus-chiropractic-and-wellness,Rufus Chiropractic and Wellness,domain:rufuschiropractic.com,https://www.rufuschiropractic.com/,215-673-1113,https://philly-25-homepage-concepts-batch-2.netlify.app/rufus-chiropractic-and-wellness/,HTTP_200_exact_identity,true,offer_fit_unconfirmed,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,medium_high,"Stored grade says verify with rendered audit before choosing the offer."
20,bill-frusco-plumbing-heating-cooling,"Bill Frusco Plumbing, Heating & Cooling",domain:billfrusco.com,https://www.billfrusco.com/,215-728-1482,https://philly-25-redesigns-batch-4.netlify.app/sites/bill-frusco-plumbing-heating-cooling/,HTTP_200_exact_identity,true,wrong_offer_risk_rescore_required,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,medium,"Current site has online scheduling, extensive service content, and 1,374+ reviews; do not pitch a rebuild without a current re-score."
21,jdv-electric-llc,"JDV Electric, LLC",domain:jdvelectric.com,https://www.jdvelectric.com/,610-364-5099,https://philly-25-redesigns-batch-4.netlify.app/sites/jdv-electric-llc/,HTTP_200_exact_identity,true,offer_fit_unconfirmed,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,medium_high,"Stored grade says verify with rendered audit before choosing the offer."
22,charles-schillinger-company,Charles Schillinger Company,domain:cschillinger.com,https://cschillinger.com/,215-638-7200,https://philly-25-redesigns-batch-4.netlify.app/sites/charles-schillinger-company/,HTTP_200_exact_identity,true,optimization_not_full_rebuild,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,high,"Stored grade 64/100 polish with low stored opportunity score."
23,lawrence-kassan-podiatry,Lawrence Kassan Podiatry,domain:philadelphiafeet.com,https://www.philadelphiafeet.com/,215-336-4151,https://philly-25-homepage-concepts-batch-2.netlify.app/lawrence-kassan-podiatry/,HTTP_200_exact_identity,true,offer_fit_ungraded,REVIEW_REQUIRED,live_no_hold_or_dnp_exact_name_match,2026-08-30,no_prior_outreach_found_clearance_receipt_missing,no_selected_domain_or_phone_conflict,hold,medium_high,"Current identity and phone are first-party verified; no current offer-grade record was found."
