rank,slug,business,official_url,verified_phone,public_demo_url,first_party_phone_match,live_suppression,relationship_clearance,duplicate_check,source_classification,pitch_scope,notes
1,h-g-sign-company,"H&G Sign Company","http://www.hgsign.com/contact/","215-425-7753","https://philly-25-redesigns-batch-4.netlify.app/sites/h-g-sign-company/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","rebuild","Active HTTP contact page; HTTPS is broken."
2,new-pennsburg-diner,"The New Pennsburg Diner","https://pennsburgdiner.com/","215-679-2190","https://radar-unslop-20260819.netlify.app/sites/new-pennsburg-diner/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","rebuild","Current first-party identity and phone match."
3,dunryte-electric-inc,"Dunryte Electric, Inc.","https://dunryteelectric.com/","267-784-6969","https://philly-25-redesigns-batch-4.netlify.app/sites/dunryte-electric-inc/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","rebuild","Current first-party identity and phone match."
4,mayfair-fence,"Mayfair Fence","https://www.mayfairfence.com/","215-676-1120","https://philly-25-homepage-concepts-batch-2.netlify.app/mayfair-fence/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR_WITH_UNSENT_DRAFT","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","rebuild","No sent outreach; one unsent Gmail draft is disclosed."
5,peking-gourmet,"Peking Gourmet","http://pekinggourmetpottstown.com/","610-326-2332","https://radar-unslop-20260819.netlify.app/sites/peking-gourmet/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","rebuild","Current first-party HTTP-only identity and phone match."
6,metalmorphose-iron-studio,"Metalmorphose Ironworks","https://metalmorphoseironworks.com/","484-919-4548","https://radar-unslop-20260819.netlify.app/sites/metalmorphose-iron-studio/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","rebuild","Current first-party identity and phone match."
7,e-and-e-cleaning,"E & E Cleaning Services","https://www.eandecleaning.com/","267-593-0603","https://philly-25-homepage-concepts-batch-2.netlify.app/e-and-e-cleaning/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","optimization","Do not frame as a broken-site replacement."
8,philly-medical-and-rehab-associates,"Philly Medical and Rehab Associates","https://www.mypmra.com/","215-535-5616","https://philly-25-homepage-concepts-batch-2.netlify.app/philly-medical-and-rehab-associates/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","optimization","Pitch conversion and presentation optimization."
9,marthas-sophisticated-shine,"Martha's Sophisticated Shine","https://sophisticatedshine.com/","267-694-9410","https://philly-25-homepage-concepts-batch-2.netlify.app/marthas-sophisticated-shine/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","optimization","Pitch conversion and presentation optimization."
10,pt-in-philly,"PT in Philly","https://www.ptinphilly.com/","267-201-0986","https://philly-25-homepage-concepts-batch-2.netlify.app/pt-in-philly/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","optimization","Pitch conversion and presentation optimization."
11,bustleton-services,"Bustleton Services, Inc","https://www.bustletonservices.com/","215-447-3140","https://philly-25-homepage-concepts-batch-2.netlify.app/bustleton-services/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","optimization","Pitch conversion and presentation optimization."
12,k-a-m-sheet-metal-fab,"K.A.M. Sheet Metal & Fab","https://www.kamsheetmetal.com/","267-608-6287","https://philly-25-redesigns-batch-4.netlify.app/sites/k-a-m-sheet-metal-fab/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","optimization","Pitch conversion and presentation optimization."
13,young-s-electrical-services-inc,"Young's Electrical Services Inc.","https://www.youngselectricalservicesinc.com/","215-962-3904","https://philly-25-redesigns-batch-4.netlify.app/sites/young-s-electrical-services-inc/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","optimization_only","Current site already has quote and service CTAs."
14,patriot-fence-and-ironworks,"Patriot Fence & Ironworks, LLC","https://www.patriotfenceandironworks.com/","215-943-3631","https://philly-25-homepage-concepts-batch-2.netlify.app/patriot-fence-and-ironworks/","PASS","NO_HOLD_OR_DNP_MATCH","CLEAR","UNIQUE_DOMAIN_AND_PHONE","CLEAR_FOR_INTERNAL_CALL_QA","optimization","Pitch conversion and presentation optimization."
