Company Name,CONTACT IN HUBSPOT,Company domain name,Industry,Franchise Type,Estimated Locations,Lead Status,Lifecycle Stage,Lead Source,Priority,Owner,Target Service,harvest_lane
Neighborly,no,neighborly.com,Multi-Brand Home Services,Franchisor / Parent,"1,000+",New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Web / Photo,skip_neighborly_js_locator
Mr. Rooter Plumbing,,mrrooter.com,Plumbing,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Call Tracking,skip_neighborly_js_locator
Mr. Electric,part of neighborly,mrelectric.com,Electrical,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,skip_neighborly_js_locator
Aire Serv,part of neighborly,aireserv.com,HVAC,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Call Tracking,skip_neighborly_js_locator
Mr. Handyman,part of neighborly,mrhandyman.com,Handyman,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / Web / Photo,skip_neighborly_js_locator
Precision Garage Door Service,part of neighborly,precisiondoor.net,Garage Door,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,skip_neighborly_js_locator
One Hour Heating & Air Conditioning,,onehourheatandair.com,HVAC,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Call Tracking,skip_neighborly_js_locator
Benjamin Franklin Plumbing,,benjaminfranklinplumbing.com,Plumbing,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Call Tracking,skip_neighborly_js_locator
Mister Sparky,,mistersparky.com,Electrical,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,skip_neighborly_js_locator
ARS / Rescue Rooter,,ars.com,HVAC / Plumbing,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / PPC / Local Pages,probe
Mighty Dog Roofing,,mightydogroofing.com,Roofing,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,probe
Honest Abe Roofing,,honestaberoofing.com,Roofing,Home Services,50+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,probe
Best Choice Roofing,,bestchoiceroofing.com,Roofing,Home Services,50+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,probe
Storm Guard Roofing & Construction,,stormguardrc.com,Roofing / Exterior,Home Services,50+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,probe
Koala Insulation,,koalainsulation.com,Insulation,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,probe
The Brothers That Just Do Gutters,,brothersgutters.com,Gutters,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,probe
Window Hero,,windowhero.com,Exterior Cleaning,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,probe
Rolling Suds,,rollingsuds.com,Pressure Washing,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,probe
Bumble Roofing,,bumbleroofing.com,Roofing,Home Services,25+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,probe
GarageExperts,,garageexperts.com,Garage Flooring / Storage,Home Improvement,50+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,probe
1-800 WATER DAMAGE,,1800waterdamage.com,Restoration,Emergency Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Call Tracking,probe
PuroClean,,puroclean.com,Restoration,Emergency Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Call Tracking,probe
Rainbow Restoration,,rainbowrestores.com,Restoration,Emergency Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Call Tracking,skip_neighborly_js_locator
SERVPRO,,servpro.com,Restoration,Emergency Services,"1,000+",New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / Photo,skip_known_js_shell
911 Restoration,,911restoration.com,Restoration,Emergency Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Call Tracking,probe
Restoration 1,,restoration1.com,Restoration,Emergency Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,probe
Green Home Solutions,,greenhomesolutions.com,Mold / Indoor Air,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,probe
CertaPro Painters,,certapro.com,Painting,Home Services,300+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,probe
Fresh Coat Painters,,freshcoatpainters.com,Painting,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,probe
Five Star Painting,,fivestarpainting.com,Painting,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,skip_known_js_shell
WOW 1 DAY PAINTING,,wow1day.com,Painting,Home Services,50+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC / Photo,probe
House Doctors,,housedoctors.com,Handyman,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / Web,probe
Ace Handyman Services,,acehandymanservices.com,Handyman,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / Web,probe
TruBlue Home Service Ally,,trubluehousecare.com,Handyman / Senior Home Safety,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / Web,probe
Kitchen Tune-Up,,kitchentuneup.com,Kitchen Remodeling,Home Improvement,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,skip_known_js_shell
Bath Tune-Up,,bathtune-up.com,Bathroom Remodeling,Home Improvement,50+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,probe
Re-Bath,,rebath.com,Bathroom Remodeling,Home Improvement,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,probe
DreamMaker Bath & Kitchen,,dreammaker-remodel.com,Remodeling,Home Improvement,50+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,probe
Budget Blinds,,budgetblinds.com,Window Coverings,Home Services,"1,000+",New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC / Photo,skip_known_js_shell
Bloomin' Blinds,,bloominblinds.com,Window Coverings,Home Services,100+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC,probe
Gotcha Covered,,gotchacovered.com,Window Treatments,Home Services,100+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC / Photo,probe
Floor Coverings International,,floorcoveringsinternational.com,Flooring,Home Improvement,200+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,probe
Footprints Floors,,footprintsfloors.com,Flooring,Home Improvement,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,probe
Garage Living,,garageliving.com,Garage Renovation,Home Improvement,50+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC / Photo,probe
Archadeck Outdoor Living,,archadeck.com,Decks / Outdoor Living,Home Improvement,50+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,probe
Outdoor Lighting Perspectives,,outdoorlights.com,Outdoor Lighting,Home Services,50+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC / Photo,probe
Mosquito Squad,,mosquitosquad.com,Pest Control,Home Services,200+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,probe
Mosquito Joe,,mosquitojoe.com,Pest Control,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,skip_known_js_shell
Lawn Doctor,,lawndoctor.com,Lawn Care,Home Services,500+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,skip_known_js_shell
Weed Man,,weedman.com,Lawn Care,Home Services,500+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,probe
Spring-Green Lawn Care,,spring-green.com,Lawn Care,Home Services,100+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC,probe
U.S. Lawns,,uslawns.com,Commercial Landscaping,Commercial Services,200+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC,probe
The Grounds Guys,,groundsguys.com,Landscaping,Home Services,200+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,skip_neighborly_js_locator
Conserva Irrigation,,conservairrigation.com,Irrigation,Home Services,100+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC,probe
Monster Tree Service,,monstertreeservice.com,Tree Service,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,probe
The Davey Tree Expert Company,,davey.com,Tree Service,Home Services,100+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC,skip_known_js_shell
Pool Scouts,,poolscouts.com,Pool Service,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,probe
America's Swimming Pool Company,,asppoolco.com,Pool Service,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,probe
Premier Pools & Spas,,premierpoolsandspas.com,Pool Construction,Home Improvement,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,probe
Screenmobile,,screenmobile.com,Mobile Screen Repair,Home Services,100+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC,probe
Glass Doctor,,glassdoctor.com,Glass Repair,Home Services,100+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC,skip_neighborly_js_locator
Window World,,windowworld.com,Windows / Exterior,Home Improvement,200+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC / Photo,probe
Pella Windows & Doors,,pella.com,Windows / Doors,Home Improvement,100+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC / Photo,skip_known_js_shell
Renewal by Andersen,,renewalbyandersen.com,Windows / Doors,Home Improvement,100+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / PPC / Photo,skip_known_js_shell
The Patch Boys,,thepatchboys.com,Drywall Repair,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,probe
Concrete Craft,,concretecraft.com,Decorative Concrete,Home Improvement,50+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC / Photo,probe
Sir Grout,,sirgrout.com,Tile / Grout Restoration,Home Services,50+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC / Photo,probe
Molly Maid,,mollymaid.com,Residential Cleaning,Home Services,300+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,skip_neighborly_js_locator
Merry Maids,,merrymaids.com,Residential Cleaning,Home Services,300+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,skip_known_js_shell
The Maids,,maids.com,Residential Cleaning,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,probe
MaidPro,,maidpro.com,Residential Cleaning,Home Services,200+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,probe
Two Maids,,twomaidsfranchise.com,Residential Cleaning,Home Services,100+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC,probe
You've Got Maids,,youvegotmaids.com,Residential Cleaning,Home Services,50+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC,probe
Office Pride,,officepride.com,Commercial Cleaning,Commercial Services,100+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC,probe
JAN-PRO Cleaning & Disinfecting,,jan-pro.com,Commercial Cleaning,Commercial Services,100+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC,probe
Stratus Building Solutions,,stratusclean.com,Commercial Cleaning,Commercial Services,100+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC,probe
Coverall,,coverall.com,Commercial Cleaning,Commercial Services,100+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC,probe
Anago Cleaning Systems,,anagocleaning.com,Commercial Cleaning,Commercial Services,100+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC,probe
Junk King,,junk-king.com,Junk Removal,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,probe
1-800-GOT-JUNK?,,1800gotjunk.com,Junk Removal,Home Services,100+,New,Lead,Franchise Outreach,A,Jason Fallon,SEO / GBP / PPC,probe
JDog Junk Removal & Hauling,,jdogjunkremoval.com,Junk Removal,Home Services,100+,New,Lead,Franchise Outreach,B,Jason Fallon,SEO / GBP / PPC,probe
