Prospect ID,Business Name,Contact Name,Email,Franchise Brand,Category,City,State,Phone,Website,Registration Link,Role Type,Email Type,Source,Source URL,Accessed,Wave,Send Batch,Outreach Status,Email Sent Date
FRAN-SEND-0114,Mosquito Squad Bangor Auburn,,jjbs09@gmail.com,Mosquito Squad,Pest control (home services),Bangor Auburn,,(207) 387-7093,https://www.mosquitosquad.com/bangor-auburn/contact-us/,https://momentum-workshop-pilot.netlify.app/?utm_source=franchise_pilot&utm_medium=permissioned_outreach&utm_campaign=franchise_workshop_2026_08&utm_content=FRAN-SEND-0114#register,owner_operator,named_mailbox,mosquitosquad_contact_us,https://www.mosquitosquad.com/bangor-auburn/contact-us/,2026-08-14,2,SEND_READY,Not sent,
FRAN-SEND-0115,Mosquito Squad Bergen Passaic County,,tom.luthy@mosquitosquad.com,Mosquito Squad,Pest control (home services),Bergen Passaic County,,(201) 870-4860,https://www.mosquitosquad.com/bergen-passaic-county/contact-us/,https://momentum-workshop-pilot.netlify.app/?utm_source=franchise_pilot&utm_medium=permissioned_outreach&utm_campaign=franchise_workshop_2026_08&utm_content=FRAN-SEND-0115#register,owner_operator,named_mailbox,mosquitosquad_contact_us,https://www.mosquitosquad.com/bergen-passaic-county/contact-us/,2026-08-14,2,SEND_READY,Not sent,
FRAN-SEND-0116,Mosquito Squad Chapel Hill Durham,,chapelhill.durham@mosquitosquad.com,Mosquito Squad,Pest control (home services),Chapel Hill Durham,,(919) 295-2494,https://www.mosquitosquad.com/chapel-hill-durham/contact-us/,https://momentum-workshop-pilot.netlify.app/?utm_source=franchise_pilot&utm_medium=permissioned_outreach&utm_campaign=franchise_workshop_2026_08&utm_content=FRAN-SEND-0116#register,owner_operator,named_mailbox,mosquitosquad_contact_us,https://www.mosquitosquad.com/chapel-hill-durham/contact-us/,2026-08-14,2,SEND_READY,Not sent,
FRAN-SEND-0117,Mosquito Squad El Paso,,elpaso.lascruces@mosquitosquad.com,Mosquito Squad,Pest control (home services),El Paso,,(915) 800-0343,https://www.mosquitosquad.com/el-paso/contact-us/,https://momentum-workshop-pilot.netlify.app/?utm_source=franchise_pilot&utm_medium=permissioned_outreach&utm_campaign=franchise_workshop_2026_08&utm_content=FRAN-SEND-0117#register,owner_operator,named_mailbox,mosquitosquad_contact_us,https://www.mosquitosquad.com/el-paso/contact-us/,2026-08-14,2,SEND_READY,Not sent,
FRAN-SEND-0118,Mosquito Squad El Paso,,nmsales1000@gmail.com,Mosquito Squad,Pest control (home services),El Paso,,(915) 800-0343,https://www.mosquitosquad.com/el-paso/contact-us/,https://momentum-workshop-pilot.netlify.app/?utm_source=franchise_pilot&utm_medium=permissioned_outreach&utm_campaign=franchise_workshop_2026_08&utm_content=FRAN-SEND-0118#register,owner_operator,named_mailbox,mosquitosquad_contact_us,https://www.mosquitosquad.com/el-paso/contact-us/,2026-08-14,2,SEND_READY,Not sent,
FRAN-SEND-0119,Mosquito Squad El Paso,,nmsales1001@gmail.com,Mosquito Squad,Pest control (home services),El Paso,,(915) 800-0343,https://www.mosquitosquad.com/el-paso/contact-us/,https://momentum-workshop-pilot.netlify.app/?utm_source=franchise_pilot&utm_medium=permissioned_outreach&utm_campaign=franchise_workshop_2026_08&utm_content=FRAN-SEND-0119#register,owner_operator,named_mailbox,mosquitosquad_contact_us,https://www.mosquitosquad.com/el-paso/contact-us/,2026-08-14,2,SEND_READY,Not sent,
FRAN-SEND-0120,Mosquito Squad El Paso,,nmsales1004@gmail.com,Mosquito Squad,Pest control (home services),El Paso,,(915) 800-0343,https://www.mosquitosquad.com/el-paso/contact-us/,https://momentum-workshop-pilot.netlify.app/?utm_source=franchise_pilot&utm_medium=permissioned_outreach&utm_campaign=franchise_workshop_2026_08&utm_content=FRAN-SEND-0120#register,owner_operator,named_mailbox,mosquitosquad_contact_us,https://www.mosquitosquad.com/el-paso/contact-us/,2026-08-14,2,SEND_READY,Not sent,
FRAN-SEND-0121,Mosquito Squad Houston,,tylersthoem@gmail.com,Mosquito Squad,Pest control (home services),Houston,,(713) 597-4202,https://www.mosquitosquad.com/houston/contact-us/,https://momentum-workshop-pilot.netlify.app/?utm_source=franchise_pilot&utm_medium=permissioned_outreach&utm_campaign=franchise_workshop_2026_08&utm_content=FRAN-SEND-0121#register,owner_operator,named_mailbox,mosquitosquad_contact_us,https://www.mosquitosquad.com/houston/contact-us/,2026-08-14,2,SEND_READY,Not sent,
FRAN-SEND-0122,Mosquito Squad Lafayette La,,lafayette.vermilion@mosquitosquad.com,Mosquito Squad,Pest control (home services),Lafayette La,,(337) 520-8123,https://www.mosquitosquad.com/lafayette-la/contact-us/,https://momentum-workshop-pilot.netlify.app/?utm_source=franchise_pilot&utm_medium=permissioned_outreach&utm_campaign=franchise_workshop_2026_08&utm_content=FRAN-SEND-0122#register,owner_operator,named_mailbox,mosquitosquad_contact_us,https://www.mosquitosquad.com/lafayette-la/contact-us/,2026-08-14,2,SEND_READY,Not sent,
FRAN-SEND-0123,Mosquito Squad Myrtle Beach,,jferrallo@yahoo.com,Mosquito Squad,Pest control (home services),Myrtle Beach,,(843) 790-5556,https://www.mosquitosquad.com/myrtle-beach/contact-us/,https://momentum-workshop-pilot.netlify.app/?utm_source=franchise_pilot&utm_medium=permissioned_outreach&utm_campaign=franchise_workshop_2026_08&utm_content=FRAN-SEND-0123#register,owner_operator,named_mailbox,mosquitosquad_contact_us,https://www.mosquitosquad.com/myrtle-beach/contact-us/,2026-08-14,2,SEND_READY,Not sent,
