week_start_utc,target_name,value
2025-10-27,hubspot_contacts_created,0
2025-11-03,hubspot_contacts_created,0
2025-11-10,hubspot_contacts_created,0
2025-11-17,hubspot_contacts_created,5177
2025-11-24,hubspot_contacts_created,20
2025-12-01,hubspot_contacts_created,26
2025-12-08,hubspot_contacts_created,28
2025-12-15,hubspot_contacts_created,30
2025-12-22,hubspot_contacts_created,7
2025-12-29,hubspot_contacts_created,18
2026-01-05,hubspot_contacts_created,41
2026-01-12,hubspot_contacts_created,22
2026-01-19,hubspot_contacts_created,30
2026-01-26,hubspot_contacts_created,37
2026-02-02,hubspot_contacts_created,5718
2026-02-09,hubspot_contacts_created,119
2026-02-16,hubspot_contacts_created,90
2026-02-23,hubspot_contacts_created,114
2026-03-02,hubspot_contacts_created,79
2026-03-09,hubspot_contacts_created,164
2026-03-16,hubspot_contacts_created,181
2026-03-23,hubspot_contacts_created,134
2026-03-30,hubspot_contacts_created,112
2026-04-06,hubspot_contacts_created,138
2026-04-13,hubspot_contacts_created,134
2026-04-20,hubspot_contacts_created,190
2026-04-27,hubspot_contacts_created,119
2026-05-04,hubspot_contacts_created,114
2026-05-11,hubspot_contacts_created,158
2026-05-18,hubspot_contacts_created,184
2026-05-25,hubspot_contacts_created,128
2026-06-01,hubspot_contacts_created,140
2026-06-08,hubspot_contacts_created,149
2026-06-15,hubspot_contacts_created,160
2026-06-22,hubspot_contacts_created,143
2026-06-29,hubspot_contacts_created,89
2026-07-06,hubspot_contacts_created,91
2026-07-13,hubspot_contacts_created,94
2026-07-20,hubspot_contacts_created,115
2026-07-27,hubspot_contacts_created,133
2026-08-03,hubspot_contacts_created,87
2026-08-10,hubspot_contacts_created,107
2026-08-17,hubspot_contacts_created,137
2026-08-24,hubspot_contacts_created,89
