client_id,domain,keyword,position,search_volume,competition,keyword_difficulty,cpc,pulled_at
align-hcm,alignhcm.com,align hcm,1,170,0.01,1,,2026-09-15
align-hcm,alignhcm.com,ukg implementation partner,2,50,0.31,4,25.21,2026-09-15
align-hcm,alignhcm.com,ukg implementation partners,2,50,0.31,0,25.21,2026-09-15
align-hcm,alignhcm.com,align hr,4,170,0.19,17,108.72,2026-09-15
align-hcm,alignhcm.com,paychex vs paylocity,4,110,0.33,0,17.42,2026-09-15
align-hcm,alignhcm.com,ukg rapid hire,4,90,0.35,0,11.25,2026-09-15
align-hcm,alignhcm.com,paylocity time and attendance,5,30,0.10,23,63.91,2026-09-15
align-hcm,alignhcm.com,paylocity vs paychex,5,110,0.33,0,17.42,2026-09-15
align-hcm,alignhcm.com,hcm inc,6,90,0.06,35,,2026-09-15
align-hcm,alignhcm.com,ukg hcm,6,110,0.39,25,5.80,2026-09-15
align-hcm,alignhcm.com,workday hcm implementation,7,30,0.00,5,,2026-09-15
align-hcm,alignhcm.com,dayforce ai assistant,8,30,0.21,0,,2026-09-15
align-hcm,alignhcm.com,hcm integration,8,30,0.34,0,,2026-09-15
align-hcm,alignhcm.com,hcm integrations,8,30,0.07,0,,2026-09-15
align-hcm,alignhcm.com,hr align,8,30,0.03,10,4.49,2026-09-15
align-hcm,alignhcm.com,ukg value,8,20,0.16,16,5.89,2026-09-15
align-hcm,alignhcm.com,align careers,9,1000,0.01,16,14.90,2026-09-15
align-hcm,alignhcm.com,alignment career,9,1000,0.01,1,14.90,2026-09-15
align-hcm,alignhcm.com,hcm services,9,70,0.17,29,7.56,2026-09-15
align-hcm,alignhcm.com,ukg ready vs pro,9,40,0.13,0,,2026-09-15
align-hcm,alignhcm.com,align workforce solutions,10,30,0.00,0,,2026-09-15
align-hcm,alignhcm.com,hcm career,10,90,0.01,0,4.21,2026-09-15
align-hcm,alignhcm.com,hcm careers,10,90,0.01,0,4.21,2026-09-15
align-hcm,alignhcm.com,hcm jobs,10,170,0.02,0,0.96,2026-09-15
align-hcm,alignhcm.com,ukg ready vs ukg pro,10,140,0.11,0,11.98,2026-09-15
align-hcm,alignhcm.com,alignment careers,12,1000,0.01,3,14.90,2026-09-15
align-hcm,alignhcm.com,lift hcm,12,110,0.07,35,15.36,2026-09-15
align-hcm,alignhcm.com,ukg values,12,20,0.16,14,5.89,2026-09-15
align-hcm,alignhcm.com,align application,13,880,0.01,33,5.22,2026-09-15
align-hcm,alignhcm.com,flyte hcm,13,210,0.04,4,7.48,2026-09-15
