query,clicks,impressions,ctr_pct,avg_position
zen spa tropicana atlantic city,127,353,35.98,1.4
zen spa tropicana,76,145,52.41,1.2
tropicana spa,74,406,18.23,4.7
tropicana spa atlantic city,60,307,19.54,4.3
tropicana atlantic city spa,34,317,10.73,8.9
zen spa,23,214,10.75,6.8
zen spa atlantic city,21,125,16.8,1.4
tropicana ac spa,20,76,26.32,4.3
spa at tropicana atlantic city,18,152,11.84,6.5
spa tropicana atlantic city,13,78,16.67,5.8
spa in tropicana atlantic city,12,77,15.58,6.6
spa tropicana,9,49,18.37,9.9
zen spa at tropicana casino atlantic city photos,9,42,21.43,1.7
tropicana atlantic city spa prices,6,31,19.35,3.9
tropicana atlantic city spa packages,5,34,14.71,4.1
tropicana massage,5,40,12.5,5.1
sea spa sanctuary,4,17,23.53,3
tropicana spa ac,4,19,21.05,12.4
head spa atlantic city,3,48,6.25,5.6
sea spa sanctuary atlantic city,3,21,14.29,5.9
tropicana casino spa,3,24,12.5,20.5
zen spa at tropicana casino atlantic city,3,40,7.5,2.1
massage tropicana,2,18,11.11,5.1
spa at tropicana,2,42,4.76,4.6
tropicana hotel atlantic city spa,2,7,28.57,9
tropicana hotel spa,2,30,6.67,5.5
atlantic city massage spa,1,5,20.0,18.8
atlantic city spas,1,6,16.67,23.3
esthetician,1,1,100,2
head massage near me,1,1,100,2
head spa near me,1,4,25.0,3.2
please help with both,1,1,100,3
relajación,1,1,100,1
sea spa sanctuary at tropicana,1,14,7.14,4.7
sea spa tropicana,1,29,3.45,5.3
sea spa tropicana atlantic city,1,14,7.14,7.3
spa atlantic city,1,65,1.54,24.9
spas in atlantic city,1,141,0.71,34.5
tropicana sauna,1,5,20.0,10.6
zen spa at tropicana atlantic city,1,15,6.67,1.6
zen spa at tropicana casino atlantic city reviews,1,30,3.33,6.3
zen spa massage,1,12,8.33,5
zen spa products,1,3,33.33,6
zenn spa,1,1,100,1
a zen spa,0,13,0,8.3
any hot tubs,0,1,0,6
atlantic city day spa,0,1,0,44
atlantic city massage,0,1,0,11
atlantic city spa,0,59,0,28.0
atlantic city spa packages,0,2,0,53
best atlantic city spa packages,0,1,0,76
best spa atlantic city,0,3,0,47.7
best spa in ac,0,2,0,37.5
best spa in atlantic city,0,33,0,36.1
best spa in atlantic city for couples,0,1,0,33
best spas in atlantic city,0,2,0,32.5
bluemercury spa atlantic city,0,1,0,25
body scrub near me,0,1,0,1
body wash,0,1,0,2
breathe salt spa tropicana,0,7,0,10
can you buy a day pass,0,1,0,2
chakra balancing massage near me,0,1,0,3
couple massage atlantic city,0,1,0,43
couples massage atlantic city,0,2,0,35
couples massage atlantic city nj,0,1,0,37
couples massage in atlantic city,0,1,0,36
couples spa atlantic city,0,1,0,30
cuánto vale el spa,0,1,0,3
day pass,0,2,0,1.5
day spa atlantic city,0,3,0,33.3
day spa atlantic city nj,0,2,0,35
day spa in atlantic city,0,2,0,31
deep tissue,0,1,0,2
dime los precios,0,1,0,1
do they have a spa,0,1,0,3
elevated zen,0,1,0,33
exotic spas,0,1,0,10
female spa,0,7,0,18.3
foto,0,1,0,1
full body massage atlantic city,0,1,0,8
goji spa,0,1,0,5
gold spa atlantic city,0,1,0,42
grand ave massage,0,1,0,5
hair massage near me,0,1,0,2
half day zen spa,0,1,0,30
half-day zen spa,0,5,0,9.4
head spa,0,1,0,5
head spa services near me,0,2,0,5
headspa,0,1,0,5
healing spa,0,1,0,6
how much does it cost,0,1,0,6
how much for a massage,0,1,0,4
imperial spa,0,1,0,11
is the spa area at tropicana atlantic city clean and relaxing?,0,1,0,7
japanese head spa near me,0,1,0,2
japanese spa near me,0,1,0,14
linda spa,0,3,0,5
massage in atlantic city,0,5,0,10.8
massage near atlantic city,0,1,0,25
massage near me,0,1,0,1
massage spa atlantic city,0,2,0,23
massages in atlantic city,0,1,0,48
me mande fotos.,0,1,0,30
med spa near atlantic city,0,2,0,44.5
new osaka massage spa atlantic city,0,1,0,29
new spa massage,0,1,0,2
organic spa,0,1,0,10
osaka spa atlantic city,0,1,0,33
pricing details,0,1,0,2
products zen medi spa,0,2,0,25.5
sakura spa atlantic city,0,1,0,5
sankara spa,0,6,0,67.5
scalp massage near me,0,1,0,8
sea spa atlantic city,0,18,0,5.9
services offered by zen spa fenwick,0,2,0,29
should i book tropicana atlantic city if i want a spa?,0,1,0,4
signature head spa,0,1,0,7
signature head spa near me,0,1,0,6
skin spa,0,1,0,4
spa at the tropicana in atlantic city,0,1,0,12
spa atlantic city nj,0,2,0,21.5
spa day atlantic city,0,1,0,26
spa in ac,0,1,0,42
spa in atlantic city,0,43,0,33.6
spa in atlantic city nj,0,40,0,31.3
spa near ac boardwalk,0,2,0,27.5
spa near atlantic city,0,1,0,1
spa near me,0,1,0,6
spa near me now,0,1,0,13
spa packages in atlantic city,0,1,0,45
spa service,0,1,0,4
spa tropicana ac,0,1,0,20
spa zen,0,1,0,33
spa zona,0,1,0,34
spas atlantic city,0,47,0,38.5
spas atlantic city nj,0,1,0,1
spas in atlantic city nj,0,3,0,31
spas in cape may,0,1,0,62
spas near atlantic city,0,1,0,35
specials,0,1,0,6
suns spa atlantic city,0,1,0,33
terra nova spa,0,1,0,5
the zen spa,0,4,0,4.2
tropica spa,0,1,0,7
tropical salon union nj,0,1,0,51
tropicana bikini massage,0,11,0,10.4
tropicana hot tub,0,2,0,10.5
tropicana hotel ac spa,0,10,0,25.2
tropicana restaurants atlantic city,0,1,0,7
tropicana salon,0,2,0,9
tropicana soa,0,4,0,3
tropicana waxing,0,2,0,5
tropicano spa wellness,0,1,0,7
visual,0,1,0,2
wellness spa,0,2,0,12
wellness spas near me,0,1,0,10
what's the price,0,1,0,2
yes,0,2,0,2.5
ze spa,0,1,0,28
zen brazil orlando,0,2,0,45
zen day spa,0,1,0,2
zen den spa,0,1,0,8
zen foot spa,0,3,0,5.7
zen garden massage,0,2,0,25
zen garden spa gibsonia,0,1,0,65
zen head spa,0,2,0,4
zen head spa nj,0,3,0,50.3
zen lounge,0,1,0,7
zen massage,0,16,0,5.2
zen massage and wellness,0,1,0,5
zen massage near me,0,10,0,4.8
zen massage spa,0,4,0,4.8
zen massage therapy,0,2,0,5.5
zen massage tropicana,0,3,0,7
zen medi spa products,0,1,0,22
zen melody spa,0,1,0,31
zen retreat spa,0,1,0,2
zen soa,0,12,0,5.8
zen spa at tropicana,0,2,0,1
zen spa fenwick,0,3,0,29.7
zen spa fenwick island,0,1,0,27
zen spa fenwick photos,0,1,0,36
zen spa hours,0,1,0,2
zen spa logo,0,2,0,1
zen spa massage reviews,0,1,0,11
zen spa menu,0,4,0,8
zen spa near me,0,3,0,4.3
zen spa ocean city md,0,3,0,23
zen spa oceano,0,8,0,53.8
zen spa palm springs,0,1,0,47
zen spa photos,0,1,0,4
zen spa price list,0,1,0,4
zen spa prices,0,2,0,15
zen spa studio,0,1,0,1
zen spa studios,0,2,0,6
