"# INVALID BASELINE, property verified mid 2026, winA is missing data not absence"
query,winB_clicks,winB_impr,winB_pos
zen spa tropicana atlantic city,127,353,1.4
zen spa tropicana,76,145,1.2
tropicana spa,74,406,4.7
tropicana spa atlantic city,60,307,4.3
tropicana atlantic city spa,34,317,8.9
zen spa,23,214,6.8
zen spa atlantic city,21,125,1.4
tropicana ac spa,20,76,4.3
spa at tropicana atlantic city,18,152,6.5
spa tropicana atlantic city,13,78,5.8
spa in tropicana atlantic city,12,77,6.6
spa tropicana,9,49,9.9
zen spa at tropicana casino atlantic city photos,9,42,1.7
tropicana atlantic city spa prices,6,31,3.9
tropicana atlantic city spa packages,5,34,4.1
tropicana massage,5,40,5.1
sea spa sanctuary,4,17,3
tropicana spa ac,4,19,12.4
head spa atlantic city,3,48,5.6
sea spa sanctuary atlantic city,3,21,5.9
tropicana casino spa,3,24,20.5
zen spa at tropicana casino atlantic city,3,40,2.1
massage tropicana,2,18,5.1
spa at tropicana,2,42,4.6
tropicana hotel atlantic city spa,2,7,9
tropicana hotel spa,2,30,5.5
atlantic city massage spa,1,5,18.8
atlantic city spas,1,6,23.3
esthetician,1,1,2
head massage near me,1,1,2
head spa near me,1,4,3.2
please help with both,1,1,3
relajación,1,1,1
sea spa sanctuary at tropicana,1,14,4.7
sea spa tropicana,1,29,5.3
sea spa tropicana atlantic city,1,14,7.3
spa atlantic city,1,65,24.9
spas in atlantic city,1,141,34.5
tropicana sauna,1,5,10.6
zen spa at tropicana atlantic city,1,15,1.6
zen spa at tropicana casino atlantic city reviews,1,30,6.3
zen spa massage,1,12,5
zen spa products,1,3,6
zenn spa,1,1,1
