page,clicks,impressions,ctr_pct,avg_position
https://www.zenspatropicana.com/,933,6414,14.55,7.7
https://www.zenspatropicana.com/full-service-menu,37,2056,1.8,6.0
https://www.zenspatropicana.com/home,17,1158,1.47,6.8
https://www.zenspatropicana.com/spa-package-deals,14,1766,0.79,4.3
https://www.zenspatropicana.com/head-spa,10,139,7.19,8.9
https://www.zenspatropicana.com/careers,9,101,8.91,5.9
https://www.zenspatropicana.com/monthly-specials-and-offers,9,1344,0.67,4.1
https://www.zenspatropicana.com/gallery,8,232,3.45,3.7
https://www.zenspatropicana.com/services,7,402,1.74,5.5
https://www.zenspatropicana.com/about,6,508,1.18,4.8
https://www.zenspatropicana.com/couples-treatments,5,47,10.64,10.7
https://www.zenspatropicana.com/shop,5,1486,0.34,5.0
https://www.zenspatropicana.com/day-pass,3,158,1.9,4.0
https://www.zenspatropicana.com/waxing,2,13,15.38,7
https://www.zenspatropicana.com/faqs,1,1038,0.1,4.5
https://www.zenspatropicana.com/foot-soaks,1,12,8.33,7.2
https://www.zenspatropicana.com/10-off-qr-sign-up,0,2,0,3
https://www.zenspatropicana.com/body-treatments,0,33,0,4.2
https://www.zenspatropicana.com/contact,0,63,0,65.9
https://www.zenspatropicana.com/facials,0,39,0,3.5
https://www.zenspatropicana.com/group-events,0,1061,0,4.4
https://www.zenspatropicana.com/lashes-brows,0,7,0,7.9
https://www.zenspatropicana.com/makeup,0,9,0,6.9
https://www.zenspatropicana.com/massages,0,108,0,13.3
https://www.zenspatropicana.com/massages-code-backup,0,4,0,9.5
https://www.zenspatropicana.com/policies,0,30,0,4.5
https://www.zenspatropicana.com/privacy-policy,0,8,0,2.1
https://www.zenspatropicana.com/spa-memberships,0,1294,0,4.3
https://www.zenspatropicana.com/terms,0,8,0,13.6
