query,winB_clicks,winB_impr,winB_pos
halloween bar crawl 2026,62,480,3.7
lakewood bar crawl st patrick's day,59,156,1.1
lakewood st patty's bar crawl,40,177,1.3
lakewood st patrick's day bar crawl,31,114,1.2
bar crawl indianapolis,24,540,4.3
green mile bar crawl,23,94,2.4
lakewood st patricks day bar crawl,17,39,1.1
taco and tequila crawl 2026,16,80,3.6
march cocktail ideas,15,164,7.7
tacos and tequila macon ga,13,44,6.5
taco and tequila bar crawl columbia sc,12,22,1.2
halloween atlanta 2026,9,103,6.7
lakewood taco and tequila bar crawl,9,27,1.2
st patrick's day alpharetta,9,100,7.8
tacos and tequila bar crawl portland maine,9,27,1.6
march themed cocktails,8,78,5.7
sarasota st patricks day 2026,8,334,7.3
macon taco and tequila crawl,7,18,1.3
tacos and tequila indianapolis,7,232,6.8
bar crawl halloween 2026,6,15,1.9
beltline brunch crawl,6,24,1.0
greenville st patrick's day bar crawl,6,64,3.1
roswell st patricks day,6,34,1.3
taco and tequila bar crawl macon ga,6,14,1
tequila crawl chattanooga,6,36,1.5
harry potter bar cleveland,5,601,6.1
march drink ideas,5,97,6.7
pub crawl indianapolis,5,292,4.9
st patrick's day bar crawl greenville sc,5,41,2.5
st patrick's day sarasota 2026,5,136,5.8
westpark bar crawl,5,10,1
alpharetta taco and tequila crawl,4,32,1.7
kamms corner bar crawl,4,29,2.1
lakewood st pattys bar crawl,4,26,1.7
sarasota halloween 2026,4,25,2.8
st patrick's day columbia sc 2026,4,176,7.2
st patricks day sarasota 2026,4,120,6.3
alpharetta st patricks day,3,75,7.3
birmingham taco & tequila bar crawl,3,8,1
columbia sc st patrick's day 2026,3,202,8.9
halloween events atlanta 2026,3,68,7.8
march themed drinks,3,54,5.6
soulard taco & tequila bar crawl,3,9,1.3
st paddys day bar crawl,3,307,12.7
st patrick bar crawl,3,118,9.9
st patrick's day events sarasota,3,150,9.8
st patricks day bar crawl cleveland,3,117,5.7
st patricks day greenville sc,3,168,9
tacos and margs crawl 2026,3,109,6.6
tacos and tequila bar crawl greenville sc,3,5,1
westside food booze and brews,3,102,5.3
90s bar crawl 2026,2,18,7.6
atlanta st patrick's day bar crawl,2,82,8.0
bubbles and bites,2,19,2.3
bubbles and bites brunch crawl,2,2,1.5
bubbles and brunch,2,4,4.8
cincinnati st patrick's day bar crawl,2,29,9.8
cleveland pub crawl,2,158,25.7
cleveland st patty's bar crawl,2,57,6.5
crawl.com,2,7,15.6
green mile bar crawl cleveland,2,13,1.3
greenville st patricks day,2,63,9.3
greenville st patricks day bar crawl,2,8,2.8
halloween 2026 atlanta,2,7,6.1
lakewood ohio bar crawl,2,10,2
lakewood st patrick's day,2,23,5.7
march drink special ideas,2,16,6.4
sarasota st patrick's day 2026,2,140,5.0
st patrick's day 2026 bar crawl,2,47,6.1
st patrick's day events greenville sc,2,50,7.2
st patrick's day pub crawl 2026,2,33,7.6
st patricks pub crawl,2,7,4.7
tequila and tacos bar crawl,2,3,1
westside food booze and brews fest,2,51,4.5
21+,1,2,2.5
24hr bar,1,4,2
activities in alpharetta ga,1,1,2
adult,1,3,8
all inclusive,1,1,3
atlanta halloween events 2026,1,52,6.8
atlanta halloween pub crawl,1,299,6.0
bar 24 hours,1,4,1.5
bar 24/7,1,1,1
bar crawl 2026,1,50,6.9
bar crawl asheville,1,11,30.2
bar crawl march 14,1,7,5.6
bar crawl may 2nd,1,1,2
bar crawl st patricks day,1,75,8
bar crawl st pattys,1,95,6.5
bar crawl st pattys day,1,9,4.7
bar crawls st patricks day,1,15,3.9
bar downtown columbia sc,1,5,4.6
bar fest cleveland,1,21,7.1
bar hopping tours,1,3,13.3
bar walking distance from me,1,1,1
bars in duluth,1,11,11.1
bars in weaverville,1,1,3
bars with entertainment near me,1,1,10
beer crawl portland,1,13,29.5
best bar in chattanooga,1,26,5.3
boos and brews 2026,1,10,2.9
boozy bus,1,6,6.2
brunch and bites,1,1,5
bubble and bites,1,1,2
canton st patrick's day bar crawl,1,1,4
city of lawrenceville events,1,1,1
columbia 4th of july,1,1,2
columbia pub crawl,1,125,35.7
crawl events,1,12,2.4
diy,1,1,9
do a pub crawl,1,34,4.3
easter bar crawl,1,15,5.4
events tomorrow near me,1,1,1
fall cocktails near me,1,2,6
grenouillere pour adulte,1,1,2
halloween bar crawls 2026,1,6,4.3
halloween club events 2026,1,4,3.5
halloween parties 2026,1,24,3.1
halloween pub crawl 2026,1,28,4.1
how to play bar bingo,1,1,1
indianapolis pub crawl,1,283,6.2
is gratuity included,1,1,8
la crosse bar crawl,1,2,1.5
lakewood st patricks day,1,10,4.5
lakewood trick or treat 2026,1,26,5.7
lawrenceville,1,1,3
louisville pub crawl,1,8,50.4
march alcoholic drinks,1,26,6.8
march cocktail specials,1,14,7.1
mardi gras party bus,1,7,2.7
margarita festival near me,1,29,7.5
margarittas near me,1,1,1
memorial day bar crawl,1,10,6.6
next one,1,1,2
