query,winA_clicks,winA_impr,winA_pos,winB_clicks,status
beltline halloween bar crawl,187,348,1.2,0,gone
roswell halloween bar crawl,109,171,1.6,0,gone
beltline bar crawl halloween,94,182,2.1,0,gone
beltline halloween,88,333,2.2,0,gone
lakewood bar crawl halloween,64,106,1.0,0,gone
atlanta beltline halloween bar crawl,50,110,1.4,0,gone
@good food & vibes!: check this website https://barcrawlusa.com/holiday-bar-party-bus/ for dates!,46,90,1,0,gone
christmas bar crawl atlanta,40,196,2.9,0,zero clicks
bar crawl macon,39,171,2.4,0,zero clicks
ugly christmas sweater bar crawl,39,403,6.0,0,zero clicks
harry potter bar crawl 2025,36,259,5.2,0,gone
atlanta beltline halloween,33,87,1.7,0,gone
alpharetta ugly sweater bar crawl,32,133,1.5,0,gone
halloween bar crawl 2025,30,716,4.4,0,zero clicks
alpharetta fall cocktail crawl,21,72,1.2,0,gone
knoxville halloween bar crawl,21,402,4.9,0,gone
halloween beltline,20,65,2.0,0,zero clicks
ugly sweater bar crawl atlanta,20,82,2.0,0,gone
atlanta taco & tequila bar crawl,19,58,1.8,0,gone
beltline atlanta halloween,19,59,2.0,0,gone
roswell boos & booze halloween bar crawl,19,37,1.4,0,gone
bar crawl soulard,18,83,2,0,zero clicks
ugly sweater bar crawl 2025,18,345,4.8,0,zero clicks
halloween bar crawl lakewood,17,42,1.8,0,gone
atlanta christmas bar crawl,16,76,2.3,0,zero clicks
asheville halloween bar crawl,15,172,4.8,0,zero clicks
columbia sc bar crawl,15,41,2.9,0,zero clicks
atlanta halloween bar crawl 2025,14,133,3.9,0,gone
atlanta holiday bar crawl,14,35,3.2,0,gone
bar crawl halloween atlanta,14,55,1.7,0,gone
columbia halloween bar crawl,14,79,5.1,0,gone
macon ugly sweater bar crawl,14,50,2.1,0,gone
halloween bar crawl cincinnati,13,254,3.8,0,gone
lakewood christmas bar crawl,13,299,3.8,0,zero clicks
lakewood ugly sweater bar crawl,13,342,5.1,0,zero clicks
atlanta beltline bar crawl map,12,105,5.3,0,gone
bar crawl atlanta halloween,12,97,1.8,0,gone
boozy brunch crawl macon ga,12,18,1.1,0,gone
greenville halloween bar crawl,12,298,6.6,0,zero clicks
lakewood boos & booze halloween bar crawl,12,17,1.2,0,gone
roswell ugly sweater bar crawl,12,71,1,0,gone
the crawl that must not be named,12,35,1.5,0,gone
alpharetta cocktail crawl,11,72,1.7,0,gone
boos fest halloween bar crawl,11,360,6.0,0,zero clicks
downtown roswell halloween,11,69,3.5,0,gone
sarasota ugly sweater bar crawl,11,47,3.3,0,gone
cincinnati halloween bar crawl,10,311,6.2,0,zero clicks
halloween bars atlanta,10,351,7.6,0,zero clicks
lakewood boos and booze,10,14,1,0,gone
boos and booze gainesville,9,71,2.2,0,gone
knoxville bar crawl halloween,9,105,3.7,0,gone
roswell halloween events,9,497,8.4,0,zero clicks
sarasota boos & booze halloween bar crawl,9,32,2,0,gone
sarasota halloween bar crawl,9,62,3.7,0,gone
alpharetta bar crawl 2025,8,23,1.9,0,gone
christmas bar crawl cleveland,8,516,7.6,0,zero clicks
halloween bar crawl columbia sc,8,108,2.6,0,gone
halloween bar crawl greenville sc,8,227,4.4,0,zero clicks
halloween on the beltline,8,52,2.5,0,gone
harry potter bar crawl cleveland,8,21,1.3,0,gone
bar crawl christmas,7,37,8.8,0,zero clicks
columbia sc halloween bar crawl,7,23,3.0,0,gone
fort worth halloween bar crawl,7,294,7.5,0,zero clicks
gainesville ga halloween events,7,86,4.4,0,gone
halloween bar crawl knoxville,7,192,3.6,0,gone
halloween bar crawls 2025,7,75,5.9,0,gone
official halloween bar crawl,7,173,4.6,0,zero clicks
