page,clicks,impressions,ctr_pct,avg_position
https://barcrawlusa.com/,1227,60282,2.04,22.5
https://barcrawlusa.com/bar-crawls-atlanta/,676,64090,1.05,9.6
https://barcrawlusa.com/taco-tequila-crawl/,641,12339,5.19,7.3
https://barcrawlusa.com/soulard-bar-crawls/,608,17355,3.5,14.5
https://barcrawlusa.com/cleveland-bar-crawls/,516,23974,2.15,10.4
https://barcrawlusa.com/columbia-bar-crawls/,506,10864,4.66,12.5
https://barcrawlusa.com/event/2nd-annual-lakewood-st-paddy-shamrock-bar-crawl-march-14th/,465,3229,14.4,5.8
https://barcrawlusa.com/event/8th-annual-cleveland-taco-tequila-bar-crawl-may-2nd/,459,4906,9.36,9.6
https://barcrawlusa.com/event/5th-annual-birmingham-taco-tequila-bar-crawl-may-2nd/,424,5224,8.12,10.9
https://barcrawlusa.com/event/5th-annual-roswell-st-patricks-shamrock-bar-crawl-march-14th/,401,4401,9.11,7.3
https://barcrawlusa.com/event/9th-annual-west-park-green-mile-st-paddy-bar-crawl-cleveland-march-7th/,372,6222,5.98,7.4
https://barcrawlusa.com/event/2nd-annual-atl-beltline-taco-tequila-crawl-march-28/,362,6646,5.45,7.1
https://barcrawlusa.com/11-essential-cocktails-for-your-march-parties/,332,6681,4.97,5.3
https://barcrawlusa.com/event/7th-annual-portland-taco-tequila-bar-crawl-april-25th/,331,2695,12.28,8.1
https://barcrawlusa.com/event/8th-annual-columbia-taco-tequila-bar-crawl-april-25th/,329,4080,8.06,6.4
https://barcrawlusa.com/portland-bar-crawls/,301,8594,3.5,11.6
http://www.barcrawlusa.com/,296,18110,1.63,6.2
https://barcrawlusa.com/crawl-maps/,294,7117,4.13,12.2
https://barcrawlusa.com/alpharetta-bar-crawls/,288,10664,2.7,11.3
https://barcrawlusa.com/cincinnati-bar-crawls/,286,14406,1.99,15.5
https://barcrawlusa.com/greenville-bar-crawls/,262,10516,2.49,25.1
https://barcrawlusa.com/sarasota-bar-crawls/,261,13462,1.94,19.0
https://barcrawlusa.com/event/7th-annual-chattanooga-taco-tequila-bar-crawl-april-11th/,251,4503,5.57,7.2
https://barcrawlusa.com/asheville-bar-crawls/,244,5462,4.47,8.5
https://barcrawlusa.com/event/atlanta-beltline-halloween-bar-crawl/,243,2904,8.37,9.5
https://barcrawlusa.com/birmingham-bar-crawls/,231,8771,2.63,18.4
https://barcrawlusa.com/event/the-2nd-annual-taco-crawl-presented-by-bar-crawl-usa/,229,1215,18.85,9.1
https://barcrawlusa.com/event/the-brunch-crawl-lawrenceville/,229,645,35.5,3.8
https://barcrawlusa.com/st-pete-bar-crawls/,214,10040,2.13,9.1
https://barcrawlusa.com/event/5th-annual-sarasota-st-patricks-shamrock-bar-crawl-march-14th/,213,7879,2.7,9.0
https://barcrawlusa.com/roswell-bar-crawls/,213,4785,4.45,8.1
https://barcrawlusa.com/portland-taco-tequila-crawl/,202,2988,6.76,14.5
https://barcrawlusa.com/discover-the-best-indianapolis-bar-crawls/,199,9754,2.04,17.3
https://barcrawlusa.com/event/indianapolis-taco-tequila-bar-crawl-april-25th/,198,5633,3.52,10.9
https://barcrawlusa.com/event/greenville-taco-tequila-bar-crawl-7th-annual/,195,3171,6.15,9.6
https://barcrawlusa.com/event/7th-annual-soulard-taco-tequila-bar-crawl-april-18th/,189,2734,6.91,10.1
https://barcrawlusa.com/event/7th-annual-cincinnati-taco-tequila-bar-crawl-may-2nd/,170,2897,5.87,11.2
https://barcrawlusa.com/event/atlanta-beltline-st-paddy-shamrock-bar-crawl-march-14th/,168,610,27.54,5.6
https://barcrawlusa.com/lawrenceville-bar-crawls/,167,3537,4.72,7.8
https://barcrawlusa.com/event/3rd-annual-macon-taco-tequila-bar-crawl-may-2nd/,163,1455,11.2,8.6
https://barcrawlusa.com/bar-crawl-usa-events/,148,25496,0.58,18.7
https://barcrawlusa.com/event/7th-annual-greenville-st-patricks-bar-crawl-block-party-march-14th/,142,4584,3.1,17.1
https://barcrawlusa.com/onsie-bar-crawl-2/,142,5041,2.82,5.5
https://barcrawlusa.com/event/4th-annual-alpharetta-taco-tequila-bar-crawl-may-2nd/,134,2046,6.55,8.9
https://barcrawlusa.com/macon-bar-crawl/,131,16082,0.81,11.3
https://barcrawlusa.com/chattanooga-bar-crawls/,130,5366,2.42,9.1
https://barcrawlusa.com/event/3rd-annual-roswell-taco-tequila-bar-crawl-april-25th/,129,3706,3.48,9.5
https://barcrawlusa.com/columbus-bar-crawls/,123,6978,1.76,7.5
https://barcrawlusa.com/event/beltline-bubbles-bites/,122,826,14.77,5.8
https://barcrawlusa.com/st-patricks-day-crawl/,122,31530,0.39,13.9
https://barcrawlusa.com/event/atl-beltline-boos-booze-halloween-bar-crawl/,120,4200,2.86,16.5
https://barcrawlusa.com/event/atlanta-taco-tequila-bar-crawl-8th-annual/,117,5642,2.07,12.1
https://barcrawlusa.com/alpharetta-bar-crawl-st-patricks-day-2026/,109,2302,4.74,10.6
https://barcrawlusa.com/event/8th-annual-greenville-taco-tequila-bar-crawl-april-25th/,109,3524,3.09,10.0
https://barcrawlusa.com/event/2nd-annual-lakewood-taco-tequila-bar-crawl-june-6th/,108,1927,5.6,7.4
https://barcrawlusa.com/event/bubbles-bites-atlanta-midtown/,106,469,22.6,6.2
https://barcrawlusa.com/event/6th-annual-sarasota-taco-tequila-bar-crawl-april-25th/,105,829,12.67,13.5
https://barcrawlusa.com/event/the-original-taco-tequila-gainesville-ga-bar-crawl/,102,1824,5.59,8.9
https://barcrawlusa.com/event/alpharetta-st-paddy-shamrock-bar-crawl-march-14th/,100,1140,8.77,10.7
https://barcrawlusa.com/gainesville-bar-crawls/,99,5930,1.67,10.8
https://barcrawlusa.com/fort-worth-bar-crawls/,97,8790,1.1,14.8
https://barcrawlusa.com/event_listing_category/macon-bar-crawl/,95,1013,9.38,6.2
https://barcrawlusa.com/halloween-bar-crawl-by-bar-crawl-usa-2/,94,85847,0.11,5.7
https://barcrawlusa.com/top-5-halloween-costumes-for-bar-crawls-in-2025/,86,14672,0.59,6.6
https://barcrawlusa.com/event/lakewood-boos-booze-halloween-bar-crawl/,84,3180,2.64,13.2
https://barcrawlusa.com/event/3rd-annual-duluth-taco-tequila-bar-crawl-april-18th/,83,1063,7.81,13.3
https://barcrawlusa.com/chattanooga-taco-tequila-crawl/,82,2088,3.93,12.9
https://barcrawlusa.com/duluth-bar-crawls/,80,15762,0.51,7.7
https://barcrawlusa.com/columbia-sc-bar-crawl-st-patricks-day-2026/,77,2830,2.72,11.5
https://barcrawlusa.com/event/cleveland-boos-booze-halloween-bar-crawl-west-park-bars/,73,2536,2.88,15.3
https://barcrawlusa.com/event/macon-st-paddy-shamrock-bar-crawl-march-14th/,73,1096,6.66,10.3
https://barcrawlusa.com/event/9th-annual-atlanta-taco-tequila-bar-crawl-june-6th/,70,1292,5.42,10.6
https://barcrawlusa.com/atlanta-bar-crawl-in-roswell-st-patricks-day-2026/,66,2970,2.22,8.8
https://barcrawlusa.com/greenville-bar-crawl-st-patricks-day-2026/,66,2995,2.2,13.1
https://barcrawlusa.com/bubbles-bites-brunch-crawl/,59,407,14.5,6.6
https://barcrawlusa.com/event/roswell-boos-booze-halloween-bar-crawl-2/,55,648,8.49,14.3
https://barcrawlusa.com/event/sarasota-boos-booze-halloween-bar-crawl/,53,653,8.12,16.5
https://barcrawlusa.com/event_listing_category/duluth-bar-crawl/,53,388,13.66,8.1
https://barcrawlusa.com/event/portland-boos-booze-halloween-bar-crawl/,52,2090,2.49,12.5
https://barcrawlusa.com/event/sarasota-taco-tequila-bar-crawl-5th-annual/,50,1489,3.36,13.0
https://barcrawlusa.com/bar-crawl-bingo/,48,17301,0.28,4.6
https://barcrawlusa.com/event/cincinnati-boos-booze-halloween-bar-crawl/,48,2210,2.17,16.0
https://barcrawlusa.com/event/greenville-boos-booze-halloween-bar-crawl/,48,1979,2.43,29.3
https://barcrawlusa.com/holiday-bar-party-bus/,46,4754,0.97,12.4
https://barcrawlusa.com/event/bubbles-bites-crawl-macon-ga/,45,175,25.71,4.5
https://barcrawlusa.com/event/alpharetta-bubbles-bites/,41,251,16.33,4.3
https://barcrawlusa.com/lawerenceville-taco-crawl-may-2-bar-crawl-usa/,39,713,5.47,6.9
https://barcrawlusa.com/event_listing_category/lawrenceville-bar-crawl/,37,865,4.28,5.9
https://barcrawlusa.com/event/summer-sippin-cocktail-bar-crawl-roswell-2/,36,1426,2.52,8.3
https://barcrawlusa.com/event/taco-tequila-crawl-soulard/,36,1324,2.72,10.8
https://barcrawlusa.com/the-best-halloween-cocktails-you-can-make-at-home/,35,4738,0.74,9.9
https://barcrawlusa.com/our-story/,34,25714,0.13,10.6
https://barcrawlusa.com/columbia-taco-tequila-crawl/,32,1431,2.24,12.2
https://barcrawlusa.com/event/columbia-boos-booze-halloween-bar-crawl/,31,973,3.19,15.3
https://barcrawlusa.com/knoxville-bar-crawls-2/,31,3233,0.96,12.8
https://barcrawlusa.com/event_listing_type/st-patricks-bar-crawl/,30,1000,3.0,11.7
https://barcrawlusa.com/adult-onesies-are-the-new-style/,27,8446,0.32,9.0
https://barcrawlusa.com/event/4th-annual-columbia-st-paddy-shamrock-bar-crawl-march-14th/,25,711,3.52,12.9
https://barcrawlusa.com/event_listing_category/atlanta-bar-crawl/,25,2188,1.14,22.5
https://barcrawlusa.com/event/lakewood-taco-tequila-bar-crawl-usa-may-17th-cleveland-oh/,24,437,5.49,7.8
https://barcrawlusa.com/event/st-pete-boos-booze-halloween-bar-crawl/,24,1091,2.2,24.1
https://barcrawlusa.com/taco-tequila-bar-crawl-indy-sc-april-25-2026/,24,901,2.66,8.8
https://barcrawlusa.com/event/birmingham-boos-booze-halloween-bar-crawl/,23,1714,1.34,21.8
https://barcrawlusa.com/event/duluth-tequila-bar-crawl-2nd-annual/,23,832,2.76,11.4
https://barcrawlusa.com/event/the-crawl-that-must-not-be-named-cleveland-bar-crawl/,23,1709,1.35,6.5
https://barcrawlusa.com/halloween-bar-crawl-by-bar-crawl-usa/,23,4929,0.47,10.6
https://barcrawlusa.com/the-best-atlanta-bar-crawls/,23,5221,0.44,20.0
https://barcrawlusa.com/event/gainesville-ga-boos-booze-halloween-bar-crawl/,22,1659,1.33,28.3
https://barcrawlusa.com/event_listing_category/birmingham-bar-crawl/,22,1593,1.38,9.8
https://barcrawlusa.com/23-special-valentines-day-cocktails/,21,2024,1.04,25.6
https://barcrawlusa.com/event_listing_category/alpharetta-bar-crawl/,21,860,2.44,7.0
https://barcrawlusa.com/sarasota-events-this-weekend-taco-tequila-crawl-bar-crawl-usa/,21,455,4.62,8.8
https://barcrawlusa.com/boos-booze-halloween-bar-crawl/,18,2381,0.76,28.0
https://barcrawlusa.com/event/6th-annual-fort-worth-taco-tequila-bar-crawl-april-25th/,18,472,3.81,13.1
https://barcrawlusa.com/how-to-master-the-taco-tequila-bar-crawl/,18,2274,0.79,9.3
https://barcrawlusa.com/boozy-brunch-bar-crawl/,17,551,3.09,9.2
https://barcrawlusa.com/event/asheville-boos-booze-halloween-bar-crawl/,17,2750,0.62,22.7
https://barcrawlusa.com/how-to-be-a-taco-tequila-bar-crawl-expert-2/,17,2536,0.67,9.7
https://barcrawlusa.com/event/7th-annual-st-pete-taco-tequila-bar-crawl-april-25th/,16,511,3.13,9.9
https://barcrawlusa.com/event/the-mini-masters-at-rigbys/,14,128,10.94,6.4
https://barcrawlusa.com/how-does-the-taco-tequila-bar-crawl-work/,14,2905,0.48,8.3
https://barcrawlusa.com/columbia-bar-crawl-taco-tequila-edition-april-25-2026/,13,328,3.96,7.6
https://barcrawlusa.com/event/macon-boos-booze-halloween-bar-crawl/,13,383,3.39,11.8
https://barcrawlusa.com/event/4th-annual-westside-food-booze-brews-fest-feb-21st/,12,558,2.15,8.0
https://barcrawlusa.com/event/portland-taco-tequila-bar-crawl-6th-annual/,12,670,1.79,14.0
https://barcrawlusa.com/event/sarasota-boos-booze-halloween-bar-crawl-2/,12,1183,1.01,20.8
https://barcrawlusa.com/event_listing_category/greenville-bar-crawl/,12,1011,1.19,18.0
