query,winA_clicks,winB_clicks,winA_pos,winB_pos,positions_lost
halloween drinks for adults,0,0,1,92,91
halloween alcohol drinks,0,0,1,87,86
best autumn cocktails,0,0,1,84,83
halloween drink recipes,0,0,1,77.5,76.5
halloween drink,0,0,1.8,77,75.2
bar crawl amsterdam,0,0,10,78.5,68.5
halloween drink recipes alcoholic,0,0,1,67,66
costumes and cocktails,0,0,2,67,65
train crawl,0,0,9.5,74.4,64.9
beltline,0,0,9,73,64
halloween events bars,0,0,12.1,75,62.9
halloween usa,0,0,3.6,63.7,60.1
haloween usa,0,0,1,58,57
pub golf bar crawl,0,0,1,57.7,56.7
iowa city bar crawl,0,0,4.5,59.8,55.3
bars with events tonight,0,0,2,54,52
craft beer crawl,0,0,1,53,52
state college bar crawl,0,0,1,47.3,46.3
nashville halloween bar crawl,0,0,4.3,50.1,45.8
lounges near me,0,0,2,47,45
halloween cocktails easy for adults,0,0,12.8,57,44.2
umd bar crawl,0,0,7,50,43
dc bar crawl,0,0,1,43.7,42.7
list crawlers macon ga,0,0,1,43,42
sacramento bar crawl,0,0,6,47.9,41.9
crawl o ween,0,0,10,51.5,41.5
scottsdale bar crawl,0,0,7,48,41
bar crawl buffalo ny,0,0,6.5,46.6,40.1
macon brunch,0,0,18.5,58,39.5
virginia highlands bar crawl halloween,0,0,12,50.7,38.7
bar today,0,0,9.3,47,37.7
scottsdale halloween bar crawl,0,0,1.5,39,37.5
apartment crawl,0,0,1.5,38.3,36.8
pirate bar crawl,0,0,8,44.2,36.2
simple halloween alcoholic drinks,0,0,1,37,36
fort worth halloween events,0,0,2.5,36.8,34.2
hot dog crawl,0,0,1,34.6,33.6
halloween ba,0,0,5.4,38.8,33.4
taco fest cleveland,0,0,2,35.3,33.3
rooftop bar crawl,0,0,1.1,33.9,32.8
new york halloween bar crawl,0,0,11.5,44,32.5
halloween events fort worth,0,0,2,34.2,32.2
bar crawl richmond va,0,0,3,35,32
christmas bar crawls,0,0,4.2,36.2,32.0
fort myers bar crawl,0,0,17.5,49.1,31.6
thanksgiving eve bar crawl,0,0,12,43,31
virginia highlands halloween bar crawl,0,0,3.4,34,30.6
bar crawl dc,0,0,4.4,34.5,30.1
bar run map,0,0,8,38,30
madison halloween bar crawl,0,0,6,36,30
club halloween,0,0,1,30.4,29.4
crawl club,0,0,3,31.2,28.2
bar crawl sacramento,0,0,14.8,42.9,28.1
harry potter inspired cocktails,0,0,9.9,38,28.1
bar entertainment,0,0,11,39,28
halloween drink ideas,0,0,1,29,28
harry potter inspired drinks,0,0,8.2,36,27.8
turkey crawl,0,0,13.9,41.0,27.1
holiday party atlanta,0,0,2,28,26
hoboken halloween bar crawl,0,0,2,27.7,25.7
irish bar crawl,0,0,3.5,28.9,25.4
les bar crawl,0,0,16.7,42,25.3
st pete tacos and tequila,0,0,13.8,38.7,24.9
halloween drinks,0,0,5,29.7,24.7
crawl park,0,0,6.5,31,24.5
club crawl meaning,0,0,1,25.2,24.2
halloween cocktails - easy,0,0,1,25,24
augusta bar crawl,0,0,19.8,43.5,23.7
bar crawl vancouver,0,0,18.4,42,23.6
bar crawl greenville,8,3,1.9,25.4,23.5
