Business Name,Contact Name,Email,Phone,Industry,City,State,Website,Role Type,Email Type,Source URL,Accessed,Outreach Status
Superb Maids,,help@superbmaids.net,,Cleaning,Las Vegas,NV,https://superbmaids.net,Company mailbox,Company domain,https://superbmaids.net,2026-09-17,Not sent
Blueprint Electric LLC,,bpelectricdenver@gmail.com,,Electrical,Denver,CO,https://bpedenver.com,Company mailbox,Free mailbox,https://bpedenver.com,2026-09-17,Not sent
JCL Electric Inc,,jclelectric5280@gmail.com,,Electrical,Aurora,CO,https://jclelectric5280.com,Company mailbox,Free mailbox,https://jclelectric5280.com,2026-09-17,Not sent
Lukas Electric,,contact@lukaselectric.com,,Electrical,Golden,CO,https://lukaselectric.com,Company mailbox,Company domain,https://lukaselectric.com,2026-09-17,Not sent
Piper Electric,,info@piperelectric.com,,Electrical,Arvada,CO,https://piperelectric.com,Company mailbox,Company domain,https://piperelectric.com,2026-09-17,Not sent
Primary Electrical Services,,info@primaryelectricalusa.com,,Electrical,Denver,CO,https://primaryelectricalusa.com,Company mailbox,Company domain,https://primaryelectricalusa.com/contact,2026-09-17,Not sent
Rise Above Electric,,info@riseaboveelectric.com,,Electrical,Denver,CO,https://riseaboveelectric.com,Company mailbox,Company domain,https://riseaboveelectric.com,2026-09-17,Not sent
Contour Fence,,sales@contourfence.com,,Fencing,Kirkland,WA,https://contourfence.com,Company mailbox,Company domain,https://contourfence.com,2026-09-17,Not sent
Ace Fence and Deck LLC,,sales@fenceinstall.com,,Fencing,Lancaster,OH,https://fenceinstall.com,Company mailbox,Company domain,https://fenceinstall.com,2026-09-17,Not sent
Forged Fence and Deck,,info@forgedfencecompany.com,,Fencing,Pearland,TX,https://forgedfencecompany.com,Company mailbox,Company domain,https://forgedfencecompany.com,2026-09-17,Not sent
Franklin Fence and Deck,,franklinfence@yahoo.com,,Fencing,Franklin,TN,https://franklinfenceanddeck.com,Company mailbox,Free mailbox,https://franklinfenceanddeck.com/contact/,2026-09-17,Not sent
Optima Fence and Deck,,info@optimafenceanddeck.com,,Fencing,Mercer Island,WA,https://optimafenceanddeck.com,Company mailbox,Company domain,https://optimafenceanddeck.com,2026-09-17,Not sent
Pro Fence Deck,,ukr555@comcast.net,,Fencing,Newtown,PA,https://profencedeck.com,Named contact,Free mailbox,https://profencedeck.com,2026-09-17,Not sent
Pro Fence Deck,,info@profencedeck.com,,Fencing,Newtown,PA,https://profencedeck.com,Company mailbox,Company domain,https://profencedeck.com,2026-09-17,Not sent
Master Schenectady Deck and Fence,,quotes@schenectadydeckandfence.com,,Fencing,Schenectady,NY,https://schenectadydeckandfence.com,Company mailbox,Company domain,https://schenectadydeckandfence.com,2026-09-17,Not sent
American Garage Door Repair and Installation,,americangaragedoor2031@gmail.com,,Garage Door,Connecticut,CT,https://americangaragedoorandrepair.com,Company mailbox,Free mailbox,https://americangaragedoorandrepair.com,2026-09-17,Not sent
American Garage Door Repair and Installation,,info@americangaragedoorandrepair.com,,Garage Door,Connecticut,CT,https://americangaragedoorandrepair.com,Company mailbox,Company domain,https://americangaragedoorandrepair.com,2026-09-17,Not sent
American Pro Garage Doors,,contact@americanprogaragedoor.com,,Garage Door,Cary,NC,https://americanprogaragedoors.com,Company mailbox,Company domain,https://americanprogaragedoors.com,2026-09-17,Not sent
Generational Garage Doors,,dustin@gengaragedoors.com,,Garage Door,Martinez,CA,https://gengaragedoors.com,Named contact,Company domain,https://gengaragedoors.com,2026-09-17,Not sent
Metro Garage Doors,,service@metrogaragedoorsinc.com,,Garage Door,Douglasville,GA,https://metrogaragedoorsinc.com,Company mailbox,Company domain,https://metrogaragedoorsinc.com,2026-09-17,Not sent
Metro Garage Doors,,hello@metrogaragedoorsinc.com,,Garage Door,Douglasville,GA,https://metrogaragedoorsinc.com,Company mailbox,Company domain,https://metrogaragedoorsinc.com/contact,2026-09-17,Not sent
