id,client,term,campaign,status,cost,clicks,conversions,source_sha256,jev,jev_probability,luna,disposition,apply
Omega-0,Omega,concrete contractors colorado springs,Search_Services_Call Only,NONE,44.52,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,1,buyer,retain_candidate,False
Omega-1,Omega,araco concrete,Search | High Intent | Colorado Springs | 2026-07-30,EXCLUDED,23.606581,3,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.71,review,already_excluded; no_duplicate_change,False
Omega-2,Omega,preferred concrete colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,EXCLUDED,23.34,3,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.85,competitor,already_excluded; no_duplicate_change,False
Omega-3,Omega,landscaping colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,23.12,3,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.95,buyer,retain_candidate,False
Omega-4,Omega,concrete companies colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,15.71,2,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.9299999999999999,buyer,retain_candidate,False
Omega-5,Omega,gazebo builders near me,Search | High Intent | Colorado Springs | 2026-07-30,NONE,15.26,2,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,review,0.59,review,review_required,False
Omega-6,Omega,garden design company,Search | High Intent | Colorado Springs | 2026-07-30,NONE,8,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.76,buyer,review_required,False
Omega-7,Omega,retaining walls colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,8,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,1,buyer,retain_candidate,False
Omega-8,Omega,concrete patio costs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.97,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,1,buyer,retain_candidate,False
Omega-9,Omega,araco concrete colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.96,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.91,competitor,review_required,False
Omega-10,Omega,concrete fence colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.95,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.55,buyer,review_required,False
Omega-11,Omega,retaining wall ideas for sloped backyard,Search | High Intent | Colorado Springs | 2026-07-30,EXCLUDED,7.93,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.95,review,already_excluded; no_duplicate_change,False
Omega-12,Omega,landscape design near me,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.92,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.93,buyer,retain_candidate,False
Omega-13,Omega,mosaic outdoor living colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.92,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,competitor,0.41000000000000003,review,review_required,False
Omega-14,Omega,building a pavestone retaining wall,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.91,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.99,buyer,retain_candidate,False
Omega-15,Omega,cutting edge landscape services,Search | High Intent | Colorado Springs | 2026-07-30,EXCLUDED,7.91,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.77,review,already_excluded; no_duplicate_change,False
Omega-16,Omega,custom pavilion builders near me,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.89,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.59,review,review_required,False
Omega-17,Omega,pond design,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.88,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,review,0.6,review,review_required,False
Omega-18,Omega,backyard xeriscape ideas colorado,Search | High Intent | Colorado Springs | 2026-07-30,EXCLUDED,7.87,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,irrelevant,0.62,buyer,already_excluded; no_duplicate_change,False
Omega-19,Omega,xeriscape colorado,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.86,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,review,0.39,buyer,review_required,False
Omega-20,Omega,patio builders near me prices,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.82,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.99,buyer,retain_candidate,False
Omega-21,Omega,terraced retaining wall with steps,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.81,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.98,buyer,retain_candidate,False
Omega-22,Omega,best landscaping colorado springs,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.79,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.96,buyer,retain_candidate,False
Omega-23,Omega,retaining wall repair services,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.77,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.98,buyer,retain_candidate,False
Omega-24,Omega,xeriscape design,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.77,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.56,buyer,review_required,False
Omega-25,Omega,how much cost for landscaping,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.75,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,buyer,0.87,buyer,review_required,False
Omega-26,Omega,custom pergola near me,Search | High Intent | Colorado Springs | 2026-07-30,NONE,7.73,1,0,8d4e82bec2b7a36fa7fc897bc942bf6462f661d8ad8c6c01377119b3a0401e90,review,0.49,review,review_required,False
