Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
stoneyard masonry suisun city,34,34,40,26,4.88,https://onsiteconcretelandscape.com/locations/landscaping-services/suisun-city-ca/,0,0,0.00,0.22,106,"14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 78, 100",2026-08-18,"Knowledge panel, Sitelinks, Reviews, Video, Related searches",navigational,Organic
stoneyard masonry suisun city,50,50,40,26,4.88,https://onsiteconcretelandscape.com/locations/concrete-services/suisun-city-ca/,0,0,0.00,0.22,106,"14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 78, 100",2026-08-18,"Knowledge panel, Sitelinks, Reviews, Video, Related searches",navigational,Organic
landscaping fairfield ca,35,35,110,13,8.14,https://onsiteconcretelandscape.com/locations/landscaping-services/fairfield-ca/,0,0,0.00,0.81,118,"81, 28, 28, 28, 34, 65, 34, 21, 21, 43, 34, 28",2026-08-11,"Local pack, Sitelinks, Reviews, Video, People also ask, Related searches",commercial,Organic
castle and king vacaville,30,30,90,27,6.90,https://onsiteconcretelandscape.com/,0,0,0.00,0.15,107,"78, 64, 64, 50, 64, 78, 35, 35, 50, 78, 50, 50",2026-08-12,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches",navigational,Organic
dixon landscaping,28,28,110,4,2.38,https://onsiteconcretelandscape.com/locations/landscaping-services/dixon-ca/,0,0,0.00,0.16,110,"80, 53, 53, 34, 42, 26, 19, 11, 15, 15, 53, 80",2026-07-30,"Local pack, Sitelinks, Reviews, Video, Related searches",commercial,Organic
concrete repair in vacaville,14,14,40,14,0.00,https://onsiteconcretelandscape.com/,0,0,0.00,0,97,"0, 33, 33, 33, 33, 33, 100, 100, 33, 22, 44, 33",2026-08-17,"Local pack, Sitelinks, Reviews, People also ask, Related searches",commercial,Organic
concrete repair in vacaville,31,31,40,14,0.00,https://onsiteconcretelandscape.com/services/,0,0,0.00,0,97,"0, 33, 33, 33, 33, 33, 100, 100, 33, 22, 44, 33",2026-08-17,"Local pack, Sitelinks, Reviews, People also ask, Related searches",commercial,Organic
concrete repair in vacaville,58,58,40,14,0.00,https://onsiteconcretelandscape.com/locations/concrete-services/,0,0,0.00,0,97,"0, 33, 33, 33, 33, 33, 100, 100, 33, 22, 44, 33",2026-08-17,"Local pack, Sitelinks, Reviews, People also ask, Related searches",commercial,Organic
mike davis concrete,44,44,40,24,0.00,https://onsiteconcretelandscape.com/locations/concrete-services/davis-ca/,0,0,0.00,0.19,135,"100, 100, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18",2026-07-28,"Knowledge panel, Reviews, Video, People also ask, AI overview",informational,Organic
concrete and landscaping companies near me,30,30,70,25,7.75,https://onsiteconcretelandscape.com/locations/landscaping-services/fairfield-ca/,0,0,0.00,0.93,151,"18, 100, 81, 100, 36, 45, 45, 45, 36, 100, 100, 18",2026-08-20,"Local pack, Reviews, Video, People also ask, Related searches",transactional,Organic
