#,Business,Show?,QA state,Priority,Phone,Best email,Other emails,Contact / role,Channel,Our concept,Their site,Their score,Vertical,Area,Address,Batch,Last verified,Fix reason,Duplicate of,Note
1,Bartram's Garden,YES,Design verified,SHOW,(215) 729-5281,info@bartramsgarden.org,,General public email,Phone + email,https://philly-site-builder-hub-0711.netlify.app/sites/bartram-garden/,,,Botanical Garden,,"5400 Lindbergh Boulevard, Philadelphia, PA 19143",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
2,Di Bruno Bros. Italian Market,YES,Design verified,SHOW,(215) 922-2876,customerservice@dibruno.com,,General public email,Phone + email,https://philly-site-builder-hub-0711.netlify.app/sites/dibruno-bros/,,,Specialty Foods,,"930 S. 9th Street, Philadelphia, PA 19147",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
3,Eastern State Penitentiary,YES,Design verified,SHOW,(215) 236-3300,sk@easternstate.org,,General public email,Phone + email,https://philly-site-builder-hub-0711.netlify.app/sites/eastern-state/,,,Historic Site,,"2027 Fairmount Avenue, Philadelphia, PA 19130",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
4,Fante's Kitchen Shop,YES,Design verified,SHOW,(215) 922-5557,mail@fantes.com,,General public email,Phone + email,https://philly-site-builder-hub-0711.netlify.app/sites/fantes-kitchen-shop/,,,Kitchenware,,"1006 South 9th Street, Philadelphia, PA 19147",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
5,Frankford Hall,YES,Design verified,SHOW,(215) 634-3338,frankfordhall.info@starr-restaurants.com,,General public email,Phone + email,https://philly-site-builder-hub-0711.netlify.app/sites/frankford-hall/,,,Beer Garden,,"1210 Frankford Avenue, Philadelphia, PA 19125",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
6,Franklin Fountain,YES,Design verified,SHOW,(215) 627-1899,press@franklinfountain.com,,General public email,Phone + email,https://philly-site-builder-hub-0711.netlify.app/sites/franklin-fountain/,,,Ice Cream & Sweets,,"116 Market Street, Philadelphia, PA 19106",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
7,Geno's Steaks,YES,Design verified,SHOW,(215) 389-0659,andre@genosteaks.com,,General public email,Phone + email,https://philly-site-builder-hub-0711.netlify.app/sites/genos-steaks/,,,Restaurant,,"1219 South 9th Street, Philadelphia, PA 19147",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
8,Good Dog Bar,YES,Design verified,SHOW,(215) 985-9600,,,Phone / official contact route,Phone / contact form only,https://philly-site-builder-hub-0711.netlify.app/sites/good-dog-bar/,,,Bar & Restaurant,,"224 South 15th Street, Philadelphia, PA 19102",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
9,Isgro Pastries,YES,Design verified,SHOW,(215) 923-3092,onlineorders@isgropastries.com,,General public email,Phone + email,https://philly-site-builder-hub-0711.netlify.app/sites/isgro-pastries/,,,Bakery,,"1009 Christian Street, Philadelphia, PA 19147",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
10,John's Roast Pork,YES,Design verified,SHOW,(215) 463-1951,,,Phone / official contact route,Phone / contact form only,https://philly-site-builder-hub-0711.netlify.app/sites/johns-roast-pork/,,,Restaurant,,"14 East Snyder Avenue, Philadelphia, PA 19148",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
11,Johnny Brenda's,YES,Design verified,SHOW,(215) 739-9684,,,Phone / official contact route,Phone / contact form only,https://philly-site-builder-hub-0711.netlify.app/sites/johnny-brendas/,,,Restaurant & Music Venue,,"1201 Frankford Avenue, Philadelphia, PA 19125",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
12,"La Colombe Coffee Roasters, Rittenhouse Square",YES,Design verified,SHOW,(215) 563-0860,help@lacolombe.net,,General public email,Phone + email,https://philly-site-builder-hub-0711.netlify.app/sites/la-colombe-rittenhouse/,,,,,"130 South 19th Street, Philadelphia, PA 19103",Philadelphia Batch 1 · restored canonical routes,2026-08-05,,,Original 100 - show
