"Business Name","Contact Name","Email","Franchise Brand","Category","City","State","Phone","Website","Role Type","Email Type","Source","Source URL","Accessed","Notes","mx_status"
"Image360 Little Rock","","darwin@image360littlerock.com","Image360","Printing, Signs & Marketing","Little Rock","AR","","https://image360.com/little-rock-ar/contact-us/","Franchise office","Territory business mailbox","First-party Image360 location page","https://image360.com/little-rock-ar/contact-us/","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"Image360 Lake Worth Beach","","info@image360lakeworth.com","Image360","Printing, Signs & Marketing","Lake Worth Beach","FL","","https://image360.com/lake-worth-beach-fl/contact-us","Franchise office","Territory business mailbox","First-party Image360 location page","https://image360.com/lake-worth-beach-fl/contact-us","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"Image360 Marietta","","info@image360marietta.com","Image360","Printing, Signs & Marketing","Marietta","GA","","https://image360.com/marietta-ga/contact-us/","Franchise office","Territory business mailbox","First-party Image360 location page","https://image360.com/marietta-ga/contact-us/","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"Image360 Middle River","","info@image360middleriver.com","Image360","Printing, Signs & Marketing","Middle River","MD","","https://image360.com/middle-river-md/contact-us/","Franchise office","Territory business mailbox","First-party Image360 location page","https://image360.com/middle-river-md/contact-us/","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"Image360 Wyndmoor","","phillynw@image360.com","Image360","Printing, Signs & Marketing","Wyndmoor","PA","","https://image360.com/wyndmoor-pa-philly/contact-us/","Franchise office","Territory business mailbox","First-party Image360 location page","https://image360.com/wyndmoor-pa-philly/contact-us/","2026-08-28","Regional priority. Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"Image360 San Antonio","","info@image360sacentral.com","Image360","Printing, Signs & Marketing","San Antonio","TX","","https://image360.com/san-antonio-tx-central/contact-us/","Franchise office","Territory business mailbox","First-party Image360 location page","https://image360.com/san-antonio-tx-central/contact-us/","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"Image360 Eau Claire","","info@image360ec.com","Image360","Printing, Signs & Marketing","Eau Claire","WI","","https://image360.com/eau-claire-wi/contact-us/","Franchise office","Territory business mailbox","First-party Image360 location page","https://image360.com/eau-claire-wi/contact-us/","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"PIP Palo Alto","","jennifer@pippaloalto.com","PIP","Printing, Signs & Marketing","Palo Alto","CA","","https://www.pip.com/paloaltoca233/contact-us","Franchise office","Territory business mailbox","First-party PIP location page","https://www.pip.com/paloaltoca233/contact-us","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"PIP Santa Fe Springs","","pip200@pip.com","PIP","Printing, Signs & Marketing","Santa Fe Springs","CA","","https://www.pip.com/santafespringsca200/shop","Franchise office","Territory business mailbox","First-party PIP location page","https://www.pip.com/santafespringsca200/shop","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"PIP San Diego","","jlevinepip@sbcglobal.net","PIP","Printing, Signs & Marketing","San Diego","CA","","https://www.pip.com/sandiegoca119/sandiegoca119/about-us","Franchise office","Territory business mailbox","First-party PIP location page","https://www.pip.com/sandiegoca119/sandiegoca119/about-us","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
