email,firstname,lastname,company,phone,website,city,state,jobtitle,lifecyclestage,hs_lead_status,hs_lead_source,hubspot_owner,priority,industry,franchise_brand,franchise_type,target_service,brand_domain,contact_name,role_type,email_type,source,source_url,accessed,region_priority,mx_status,notes
attalla@snapfitness.com,,,"Snap Fitness Attalla, AL",(256) 344-0373,https://www.snapfitness.com/us/gyms/attalla-al,Attalla,AL,Franchise location,Lead,New,Franchise Outreach,Jason Fallon,A,Fitness,Snap Fitness,Fitness,SEO / GBP / PPC / Web,snapfitness.com,,Franchise location,location_mailbox,Verified 2026-09-01 first-party Snap Fitness US gym locator,https://www.snapfitness.com/us/gyms/attalla-al,2026-09-01,AL,mx_ok,First-party location email from the official Snap Fitness US gym locator.
columbiana@snapfitness.com,,,"Snap Fitness Columbiana, AL",(205) 610-9291,https://www.snapfitness.com/us/gyms/columbiana-al,Columbiana,AL,Franchise location,Lead,New,Franchise Outreach,Jason Fallon,A,Fitness,Snap Fitness,Fitness,SEO / GBP / PPC / Web,snapfitness.com,,Franchise location,location_mailbox,Verified 2026-09-01 first-party Snap Fitness US gym locator,https://www.snapfitness.com/us/gyms/columbiana-al,2026-09-01,AL,mx_ok,First-party location email from the official Snap Fitness US gym locator.
glencoeal@snapfitness.com,,,"Snap Fitness Glencoe, AL",(256) 478-9991,https://www.snapfitness.com/us/gyms/glencoe-al-620-banks-st,Glencoe,AL,Franchise location,Lead,New,Franchise Outreach,Jason Fallon,A,Fitness,Snap Fitness,Fitness,SEO / GBP / PPC / Web,snapfitness.com,,Franchise location,location_mailbox,Verified 2026-09-01 first-party Snap Fitness US gym locator,https://www.snapfitness.com/us/gyms/glencoe-al-620-banks-st,2026-09-01,AL,mx_ok,First-party location email from the official Snap Fitness US gym locator.
moody@snapfitness.com,,,"Snap Fitness Moody, AL",(205) 640-5588,https://www.snapfitness.com/us/gyms/moody-al,Moody,AL,Franchise location,Lead,New,Franchise Outreach,Jason Fallon,A,Fitness,Snap Fitness,Fitness,SEO / GBP / PPC / Web,snapfitness.com,,Franchise location,location_mailbox,Verified 2026-09-01 first-party Snap Fitness US gym locator,https://www.snapfitness.com/us/gyms/moody-al,2026-09-01,AL,mx_ok,First-party location email from the official Snap Fitness US gym locator.
pellcity@snapfitness.com,,,"Snap Fitness Pell City, AL",(205) 338-7666,https://www.snapfitness.com/us/gyms/pell-city-al,Pell City,AL,Franchise location,Lead,New,Franchise Outreach,Jason Fallon,A,Fitness,Snap Fitness,Fitness,SEO / GBP / PPC / Web,snapfitness.com,,Franchise location,location_mailbox,Verified 2026-09-01 first-party Snap Fitness US gym locator,https://www.snapfitness.com/us/gyms/pell-city-al,2026-09-01,AL,mx_ok,First-party location email from the official Snap Fitness US gym locator.
sylacauga@snapfitness.com,,,"Snap Fitness Sylacauga, AL",(256) 369-1221,https://www.snapfitness.com/us/gyms/sylacauga-al,Sylacauga,AL,Franchise location,Lead,New,Franchise Outreach,Jason Fallon,A,Fitness,Snap Fitness,Fitness,SEO / GBP / PPC / Web,snapfitness.com,,Franchise location,location_mailbox,Verified 2026-09-01 first-party Snap Fitness US gym locator,https://www.snapfitness.com/us/gyms/sylacauga-al,2026-09-01,AL,mx_ok,First-party location email from the official Snap Fitness US gym locator.
talladega@snapfitness.com,,,"Snap Fitness Talladega, AL",(256) 474-0363,https://www.snapfitness.com/us/gyms/talladega-al,Talladega,AL,Franchise location,Lead,New,Franchise Outreach,Jason Fallon,A,Fitness,Snap Fitness,Fitness,SEO / GBP / PPC / Web,snapfitness.com,,Franchise location,location_mailbox,Verified 2026-09-01 first-party Snap Fitness US gym locator,https://www.snapfitness.com/us/gyms/talladega-al,2026-09-01,AL,mx_ok,First-party location email from the official Snap Fitness US gym locator.
crossett@snapfitness.com,,,"Snap Fitness Crossett, AR",(870) 298-4420,https://www.snapfitness.com/us/gyms/crossett-ar,Crossett,AR,Franchise location,Lead,New,Franchise Outreach,Jason Fallon,A,Fitness,Snap Fitness,Fitness,SEO / GBP / PPC / Web,snapfitness.com,,Franchise location,location_mailbox,Verified 2026-09-01 first-party Snap Fitness US gym locator,https://www.snapfitness.com/us/gyms/crossett-ar,2026-09-01,AR,mx_ok,First-party location email from the official Snap Fitness US gym locator.
dumas@snapfitness.com,,,"Snap Fitness Dumas, AR",(870) 493-3343,https://www.snapfitness.com/us/gyms/dumas-ar,Dumas,AR,Franchise location,Lead,New,Franchise Outreach,Jason Fallon,A,Fitness,Snap Fitness,Fitness,SEO / GBP / PPC / Web,snapfitness.com,,Franchise location,location_mailbox,Verified 2026-09-01 first-party Snap Fitness US gym locator,https://www.snapfitness.com/us/gyms/dumas-ar,2026-09-01,AR,mx_ok,First-party location email from the official Snap Fitness US gym locator.
rogersar@snapfitness.com,,,"Snap Fitness Rogers, AR",(479) 202-9930,https://www.snapfitness.com/us/gyms/rogers-ar,Rogers,AR,Franchise location,Lead,New,Franchise Outreach,Jason Fallon,A,Fitness,Snap Fitness,Fitness,SEO / GBP / PPC / Web,snapfitness.com,,Franchise location,location_mailbox,Verified 2026-09-01 first-party Snap Fitness US gym locator,https://www.snapfitness.com/us/gyms/rogers-ar,2026-09-01,AR,mx_ok,First-party location email from the official Snap Fitness US gym locator.
stuttgart@snapfitness.com,,,"Snap Fitness Stuttgart, AR",(870) 663-0049,https://www.snapfitness.com/us/gyms/stuttgart-ar,Stuttgart,AR,Franchise location,Lead,New,Franchise Outreach,Jason Fallon,A,Fitness,Snap Fitness,Fitness,SEO / GBP / PPC / Web,snapfitness.com,,Franchise location,location_mailbox,Verified 2026-09-01 first-party Snap Fitness US gym locator,https://www.snapfitness.com/us/gyms/stuttgart-ar,2026-09-01,AR,mx_ok,First-party location email from the official Snap Fitness US gym locator.
buckeye@snapfitness.com,,,"Snap Fitness Buckeye, AZ",(480) 745-2465,https://www.snapfitness.com/us/gyms/buckeye-az,Buckeye,AZ,Franchise location,Lead,New,Franchise Outreach,Jason Fallon,A,Fitness,Snap Fitness,Fitness,SEO / GBP / PPC / Web,snapfitness.com,,Franchise location,location_mailbox,Verified 2026-09-01 first-party Snap Fitness US gym locator,https://www.snapfitness.com/us/gyms/buckeye-az,2026-09-01,AZ,mx_ok,First-party location email from the official Snap Fitness US gym locator.
