"Business Name","Contact Name","Email","Franchise Brand","Category","City","State","Phone","Website","Role Type","Email Type","Source","Source URL","Accessed","Notes","mx_status"
"PIP Livingston","","pipliv@pip.com","PIP","Printing, Signs & Marketing","Livingston","NJ","","https://www.pip.com/livingstonnj403/contact-us","Franchise office","Territory business mailbox","First-party PIP location page","https://www.pip.com/livingstonnj403/contact-us","2026-08-28","Regional priority. Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"PIP Bloomingdale","","mail@pipbutler.com","PIP","Printing, Signs & Marketing","Bloomingdale","NJ","","https://www.pip.com/butlernj734/contact-us","Franchise office","Territory business mailbox","First-party PIP location page","https://www.pip.com/butlernj734/contact-us","2026-08-28","Regional priority. Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"PIP Van Nuys","","dox@pipsfv.com","PIP","Printing, Signs & Marketing","Van Nuys","CA","","https://www.pip.com/vannuysca756/contact-us","Franchise office","Territory business mailbox","First-party PIP location page","https://www.pip.com/vannuysca756/contact-us","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"PIP Nashville","","graphicstn@dggink.com","PIP","Printing, Signs & Marketing","Nashville","TN","","https://www.pip.com/nashvilletn448/contact-us","Franchise office","Territory business mailbox","First-party PIP location page","https://www.pip.com/nashvilletn448/contact-us","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"PIP Winston Salem","","solutions@pipwinston.com","PIP","Printing, Signs & Marketing","Winston Salem","NC","","https://www.pip.com/winstonsalemnc394/contact-us","Franchise office","Territory business mailbox","First-party PIP location page","https://www.pip.com/winstonsalemnc394/contact-us","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"Image360 Kensington","","sales@image360dcss.com","Image360","Printing, Signs & Marketing","Kensington","MD","","https://image360.com/kensington-md/contact-us","Franchise office","Territory business mailbox","First-party Image360 location page","https://image360.com/kensington-md/contact-us","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"Image360 York","","info@image360york.com","Image360","Printing, Signs & Marketing","York","PA","","https://image360.com/york-pa/","Franchise office","Territory business mailbox","First-party Image360 location page","https://image360.com/york-pa/","2026-08-28","Regional priority. Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"Image360 Marlton","","info@image360marlton.com","Image360","Printing, Signs & Marketing","Marlton","NJ","","https://image360.com/marlton-nj/","Franchise office","Territory business mailbox","First-party Image360 location page","https://image360.com/marlton-nj/","2026-08-28","Regional priority. Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"Image360 Dulles","","info@i360dulles.com","Image360","Printing, Signs & Marketing","Dulles","VA","","https://image360.com/dulles-va/contact-us/","Franchise office","Territory business mailbox","First-party Image360 location page","https://image360.com/dulles-va/contact-us/","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"Image360 Hanover","","sales@image360hanover.com","Image360","Printing, Signs & Marketing","Hanover","PA","","https://image360.com/hanover-pa/","Franchise office","Territory business mailbox","First-party Image360 location page","https://image360.com/hanover-pa/","2026-08-28","Regional priority. Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"Image360 Harrisburg","","info@image360hbgeast.com","Image360","Printing, Signs & Marketing","Harrisburg","PA","","https://image360.com/harrisburg-pa-east/contact-us","Franchise office","Territory business mailbox","First-party Image360 location page","https://image360.com/harrisburg-pa-east/contact-us","2026-08-28","Regional priority. Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"Image360 Mokena","","info@image360mokena.com","Image360","Printing, Signs & Marketing","Mokena","IL","","https://image360.com/mokena-il/contact-us","Franchise office","Territory business mailbox","First-party Image360 location page","https://image360.com/mokena-il/contact-us","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"Image360 Centennial","","info@image360dtc.com","Image360","Printing, Signs & Marketing","Centennial","CO","","https://image360.com/centennial-co-denver/contact-us","Franchise office","Territory business mailbox","First-party Image360 location page","https://image360.com/centennial-co-denver/contact-us","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"Image360 Round Rock","","sales@image360rrtx.com","Image360","Printing, Signs & Marketing","Round Rock","TX","","https://image360.com/round-rock-tx/","Franchise office","Territory business mailbox","First-party Image360 location page","https://image360.com/round-rock-tx/","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"Image360 Lauderhill","","info@image360lauderhill.com","Image360","Printing, Signs & Marketing","Lauderhill","FL","","https://image360.com/lauderhill-fl/","Franchise office","Territory business mailbox","First-party Image360 location page","https://image360.com/lauderhill-fl/","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
"Image360 Hollywood","","sales@image360hollywoodfl.com","Image360","Printing, Signs & Marketing","Hollywood","FL","","https://image360.com/hollywood-fl/","Franchise office","Territory business mailbox","First-party Image360 location page","https://image360.com/hollywood-fl/","2026-08-28","Exact email re-read from first-party page on 2026-08-28.","mx_ok"
